"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20329722,579267,15091,"ar001_aquents_0_10_yancopin silty clay loam, 1 to 3 percent slopes, frequently flooded_mfs1_0",826528,15091,579267,382490,10,"AR"
20329723,579267,15091,"ar001_kobel_0_10_yancopin silty clay loam, 1 to 3 percent slopes, frequently flooded_mfs1_0",826527,15091,579267,382490,10,"AR"
20329724,579267,15091,"ar001_yancopin_1_80_yancopin silty clay loam, 1 to 3 percent slopes, frequently flooded_mfs1_0",826525,15091,579267,382490,80,"AR"
20329789,579268,15091,"ar001_ethel_1_90_ethel silt loam, 0 to 1 percent slopes_mfs2_0",826529,15091,579268,382491,90,"AR"
20329790,579268,15091,"ar001_aqualfs_0_10_ethel silt loam, 0 to 1 percent slopes_mfs2_0",826530,15091,579268,382491,10,"AR"
20329791,579270,15091,"ar001_yancopin_0_5_kobel silty clay, 0 to 1 percent slopes, frequently flooded_mfs4_flooded, brief-long",826535,15091,579270,382493,5,"AR"
20329792,579270,15091,"ar001_aquents_0_5_kobel silty clay, 0 to 1 percent slopes, frequently flooded_mfs4_0",826537,15091,579270,382493,5,"AR"
20329793,579270,15091,"ar001_kobel_0_5_kobel silty clay, 0 to 1 percent slopes, frequently flooded_mfs4_ponded",826536,15091,579270,382493,5,"AR"
20329794,579270,15091,"ar001_kobel_1_85_kobel silty clay, 0 to 1 percent slopes, frequently flooded_mfs4_0",826534,15091,579270,382493,85,"AR"
20329725,579271,15091,"ar001_immanuel_1_100_immanuel silt loam, 8 to 15 percent slopes_mfs5_0",826538,15091,579271,382494,100,"AR"
20329697,579272,15091,"ar001_immanuel_1_100_immanuel silt loam, 15 to 25 percent slopes_mfs6_0",826539,15091,579272,382495,100,"AR"
20329698,579273,15091,"ar001_tichnor_0_5_oaklimeter silt loam, 0 to 1 percent slopes, occasionally flooded_mfs7_0",826542,15091,579273,382496,5,"AR"
20329699,579273,15091,"ar001_aquepts_0_5_oaklimeter silt loam, 0 to 1 percent slopes, occasionally flooded_mfs7_0",826541,15091,579273,382496,5,"AR"
20329700,579273,15091,"ar001_oaklimeter_1_90_oaklimeter silt loam, 0 to 1 percent slopes, occasionally flooded_mfs7_0",826540,15091,579273,382496,90,"AR"
20329701,579274,15091,"ar001_dewitt_0_5_lagrue silty clay loam, 0 to 1 percent slopes_mfs8_0",911517,15091,579274,382497,5,"AR"
20329702,579274,15091,"ar001_aqualfs_0_10_lagrue silty clay loam, 0 to 1 percent slopes_mfs8_0",826544,15091,579274,382497,10,"AR"
20329703,579274,15091,"ar001_lagrue_1_85_lagrue silty clay loam, 0 to 1 percent slopes_mfs8_0",826543,15091,579274,382497,85,"AR"
20329726,579276,15091,"ar001_ethel_0_5_immanuel silt loam, 0 to 1 percent slopes_mfsb_0",826549,15091,579276,382499,5,"AR"
20329727,579276,15091,"ar001_immanuel_1_90_immanuel silt loam, 0 to 1 percent slopes_mfsb_0",826548,15091,579276,382499,90,"AR"
20329728,579276,15091,"ar001_aqualfs_0_5_immanuel silt loam, 0 to 1 percent slopes_mfsb_0",826550,15091,579276,382499,5,"AR"
20329795,579277,15091,"ar001_aqualfs_0_5_immanuel silt loam, 1 to 3 percent slopes_mfsc_0",826553,15091,579277,382500,5,"AR"
20329796,579277,15091,"ar001_immanuel_1_90_immanuel silt loam, 1 to 3 percent slopes_mfsc_0",826551,15091,579277,382500,90,"AR"
20329797,579277,15091,"ar001_ethel_0_5_immanuel silt loam, 1 to 3 percent slopes_mfsc_0",826552,15091,579277,382500,5,"AR"
20329798,579279,15091,"ar001_muskogee_1_75_muskogee silt loam, 1 to 3 percent slopes_mfsf_0",826557,15091,579279,382502,75,"AR"
20329799,579279,15091,"ar001_aqualfs_0_5_muskogee silt loam, 1 to 3 percent slopes_mfsf_0",826558,15091,579279,382502,5,"AR"
20329800,579279,15091,"ar001_tichnor_0_5_muskogee silt loam, 1 to 3 percent slopes_mfsf_0",911524,15091,579279,382502,5,"AR"
20329801,579279,15091,"ar001_dewitt_0_5_muskogee silt loam, 1 to 3 percent slopes_mfsf_0",911523,15091,579279,382502,5,"AR"
20329802,579279,15091,"ar001_stuttgart_0_5_muskogee silt loam, 1 to 3 percent slopes_mfsf_0",911521,15091,579279,382502,5,"AR"
20329803,579279,15091,"ar001_immanuel_0_5_muskogee silt loam, 1 to 3 percent slopes_mfsf_0",911522,15091,579279,382502,5,"AR"
20329742,579280,15091,"ar001_muskogee_1_80_muskogee silt loam, 3 to 8 percent slopes_mfsg_0",826559,15091,579280,382503,80,"AR"
20329743,579280,15091,"ar001_immanuel_0_5_muskogee silt loam, 3 to 8 percent slopes_mfsg_0",911532,15091,579280,382503,5,"AR"
20329744,579280,15091,"ar001_tichnor_0_5_muskogee silt loam, 3 to 8 percent slopes_mfsg_0",911531,15091,579280,382503,5,"AR"
20329745,579280,15091,"ar001_aqualfs_0_5_muskogee silt loam, 3 to 8 percent slopes_mfsg_0",911529,15091,579280,382503,5,"AR"
20329746,579280,15091,"ar001_stuttgart_0_5_muskogee silt loam, 3 to 8 percent slopes_mfsg_0",911530,15091,579280,382503,5,"AR"
20329747,579281,15091,"ar001_tichnor_0_5_muskogee silt loam, 8 to 15 percent slopes_mfsh_0",911534,15091,579281,382504,5,"AR"
20329748,579281,15091,"ar001_muskogee_1_85_muskogee silt loam, 8 to 15 percent slopes_mfsh_0",826560,15091,579281,382504,85,"AR"
20329749,579281,15091,"ar001_stuttgart_0_5_muskogee silt loam, 8 to 15 percent slopes_mfsh_0",911535,15091,579281,382504,5,"AR"
20329750,579281,15091,"ar001_immanuel_0_5_muskogee silt loam, 8 to 15 percent slopes_mfsh_0",911536,15091,579281,382504,5,"AR"
20329751,579283,15091,"ar001_aquents_0_5_keo loam, 0 to 1 percent slopes, occasionally flooded_mfsk_0",826565,15091,579283,382506,5,"AR"
