"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
19671367,1543353,14107,"ca641_urban land_1_70_urban land-still complex, 0 to 2 percent slopes_1nszl_0",1414841,14107,1543353,491161,70,"CA64"
19671368,1543353,14107,"ca641_elpaloalto_0_5_urban land-still complex, 0 to 2 percent slopes_1nszl_0",1734187,14107,1543353,491161,5,"CA64"
19671369,1543353,14107,"ca641_still_1_25_urban land-still complex, 0 to 2 percent slopes_1nszl_0",1414869,14107,1543353,491161,25,"CA64"
19671434,1543354,14107,"ca641_urban land_0_5_aquic xerorthents, bay mud subtratum, 0 to 2 percent slopes_1nszm_0",1836950,14107,1543354,497876,5,"CA64"
19671435,1543354,14107,"ca641_aquic xerorthents_1_95_aquic xerorthents, bay mud subtratum, 0 to 2 percent slopes_1nszm_bay mud substratum",1459583,14107,1543354,497876,95,"CA64"
19671366,1543355,14107,"ca641_pits_1_100_pits, mine_1nszn_mine",1414808,14107,1543355,491159,100,"CA64"
19671751,1543356,14107,"ca641_xerorthents_1_100_xerorthents, trash substratum, 9 to 15 percent slopes_1nszp_trash substrata",1414681,14107,1543356,491150,100,"CA64"
19671540,1543357,14107,"ca641_xerorthents_1_100_xerorthents, trash substratum, 0 to 2 percent slopes_1nszq_trash substrata",1447455,14107,1543357,496233,100,"CA64"
19671508,1543359,14107,"ca641_hangerone_0_5_urbanland-clear lake complex, 0 to 2 percent slopes_1nszs_drained",1818228,14107,1543359,491288,5,"CA64"
19671509,1543359,14107,"ca641_urban land_1_65_urbanland-clear lake complex, 0 to 2 percent slopes_1nszs_0",1416094,14107,1543359,491288,65,"CA64"
19671510,1543359,14107,"ca641_campbell_0_5_urbanland-clear lake complex, 0 to 2 percent slopes_1nszs_0",1685382,14107,1543359,491288,5,"CA64"
19671511,1543359,14107,"ca641_clear lake_1_25_urbanland-clear lake complex, 0 to 2 percent slopes_1nszs_0",1416093,14107,1543359,491288,25,"CA64"
19671274,1543360,14107,"ca641_typic xerorthents_0_1_novato clay, 0 to 1 percent slopes, tidally flooded_1nszt_acid sulphate",1747383,14107,1543360,491277,1,"CA64"
19671275,1543360,14107,"ca641_water_0_4_novato clay, 0 to 1 percent slopes, tidally flooded_1nszt_0",1747380,14107,1543360,491277,4,"CA64"
19671276,1543360,14107,"ca641_novato_1_95_novato clay, 0 to 1 percent slopes, tidally flooded_1nszt_tidally flooded",1415853,14107,1543360,491277,95,"CA64"
19671271,1543361,14107,"ca641_hangerone_0_5_urbanland-embarcadero complex, 0 to 2 percent slopes, drained_1nszv_0",1715987,14107,1543361,491276,5,"CA64"
19671272,1543361,14107,"ca641_embarcadero_1_25_urbanland-embarcadero complex, 0 to 2 percent slopes, drained_1nszv_0",1415847,14107,1543361,491276,25,"CA64"
19671273,1543361,14107,"ca641_urban land_1_70_urbanland-embarcadero complex, 0 to 2 percent slopes, drained_1nszv_0",1415850,14107,1543361,491276,70,"CA64"
19671752,1543362,14107,"ca641_clear lake_0_2_urbanland-hangerone complex, 0 to 2 percent slopes, drained_1nszw_0",1748144,14107,1543362,491255,2,"CA64"
19671753,1543362,14107,"ca641_bayshore_0_2_urbanland-hangerone complex, 0 to 2 percent slopes, drained_1nszw_0",1799530,14107,1543362,491255,2,"CA64"
