"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20233879,58267,10246,"co669_agua fria_1_75_agua fria loam_1yml_0",66109,10246,58267,36389,"75","CO"
20233880,58267,10246,"co669_nehar_0_5_agua fria loam_1yml_0",66112,10246,58267,36389,"5","CO"
20233881,58267,10246,"co669_harlan_0_10_agua fria loam_1yml_0",66110,10246,58267,36389,"10","CO"
20233882,58267,10246,"co669_shalona_0_10_agua fria loam_1yml_0",66111,10246,58267,36389,"10","CO"
20233901,58268,10246,"co669_other soils_0_4_bayfield silty clay loam, 1 to 3 percent slopes_1ymm_0",66140,10246,58268,36398,"4","CO"
20233902,58268,10246,"co669_bayfield_1_75_bayfield silty clay loam, 1 to 3 percent slopes_1ymm_0",66138,10246,58268,36398,"75","CO"
20233903,58268,10246,"co669_aquents_0_1_bayfield silty clay loam, 1 to 3 percent slopes_1ymm_0",66141,10246,58268,36398,"1","CO"
20233904,58268,10246,"co669_sili_0_20_bayfield silty clay loam, 1 to 3 percent slopes_1ymm_0",66139,10246,58268,36398,"20","CO"
20233905,58269,10246,"co669_sili_0_18_bayfield silty clay loam, gullied, 1 to 3 percent slopes_1ymn_0",66144,10246,58269,36399,"18","CO"
20233906,58269,10246,"co669_bayfield_1_75_bayfield silty clay loam, gullied, 1 to 3 percent slopes_1ymn_gullied",66142,10246,58269,36399,"75","CO"
20233907,58269,10246,"co669_other soils_0_5_bayfield silty clay loam, gullied, 1 to 3 percent slopes_1ymn_0",66145,10246,58269,36399,"5","CO"
20233908,58269,10246,"co669_aquents_0_2_bayfield silty clay loam, gullied, 1 to 3 percent slopes_1ymn_0",66143,10246,58269,36399,"2","CO"
20233909,58270,10246,"co669_arboles_0_5_bayfield silty clay loam, seeped, 1 to 3 percent slopes_1ymp_0",66149,10246,58270,36400,"5","CO"
20233910,58270,10246,"co669_bayfield_1_75_bayfield silty clay loam, seeped, 1 to 3 percent slopes_1ymp_seeped",66146,10246,58270,36400,"75","CO"
20233911,58270,10246,"co669_sili_0_18_bayfield silty clay loam, seeped, 1 to 3 percent slopes_1ymp_0",66148,10246,58270,36400,"18","CO"
20233912,58270,10246,"co669_aquents_0_2_bayfield silty clay loam, seeped, 1 to 3 percent slopes_1ymp_0",66147,10246,58270,36400,"2","CO"
20233913,58271,10246,"co669_big blue_1_90_big blue clay loam_1ymq_0",66150,10246,58271,36401,"90","CO"
20233914,58271,10246,"co669_bayfield, seeped_0_2_big blue clay loam_1ymq_0",66152,10246,58271,36401,"2","CO"
20233915,58271,10246,"co669_other soils_0_8_big blue clay loam_1ymq_0",66151,10246,58271,36401,"8","CO"
20233916,58272,10246,"co669_arboles_0_10_bodot clay, 3 to 10 percent slopes_1ymr_0",66155,10246,58272,36402,"10","CO"
20233917,58272,10246,"co669_bodot_1_75_bodot clay, 3 to 10 percent slopes_1ymr_0",66153,10246,58272,36402,"75","CO"
20233918,58272,10246,"co669_zyme_0_15_bodot clay, 3 to 10 percent slopes_1ymr_0",66154,10246,58272,36402,"15","CO"
20233919,58273,10246,"co669_borohemists_1_100_borohemists, ponded_1yms_ponded",66156,10246,58273,36403,"100","CO"
20233920,58274,10246,"co669_yenlo_0_10_buckle loam_1ymt_0",66159,10246,58274,36404,"10","CO"
20233921,58274,10246,"co669_witt_0_15_buckle loam_1ymt_0",66158,10246,58274,36404,"15","CO"
20233922,58274,10246,"co669_buckle_1_75_buckle loam_1ymt_0",66157,10246,58274,36404,"75","CO"
20233923,58275,10246,"co669_chris_1_80_chris very stony loam, 9 to 25 percent slopes_1ymv_0",66160,10246,58275,36405,"80","CO"
20233924,58275,10246,"co669_fortwingate_0_10_chris very stony loam, 9 to 25 percent slopes_1ymv_0",66161,10246,58275,36405,"10","CO"
20233925,58275,10246,"co669_other soils_0_10_chris very stony loam, 9 to 25 percent slopes_1ymv_0",66162,10246,58275,36405,"10","CO"
20233926,58276,10246,"co669_other_0_5_clark fork very cobbly sandy loam_1ymw_0",66165,10246,58276,36406,"5","CO"
20233927,58276,10246,"co669_leadville_0_5_clark fork very cobbly sandy loam_1ymw_0",66164,10246,58276,36406,"5","CO"
20233928,58276,10246,"co669_clark fork_1_90_clark fork very cobbly sandy loam_1ymw_0",66163,10246,58276,36406,"90","CO"
20233929,58277,10246,"co669_clayburn_1_75_clayburn loam, 3 to 12 percent slopes_1ymx_0",66166,10246,58277,36407,"75","CO"
20233930,58277,10246,"co669_anvik_0_5_clayburn loam, 3 to 12 percent slopes_1ymx_0",66169,10246,58277,36407,"5","CO"
20233931,58277,10246,"co669_shawa_0_10_clayburn loam, 3 to 12 percent slopes_1ymx_0",66168,10246,58277,36407,"10","CO"
20233932,58277,10246,"co669_nordicol_0_10_clayburn loam, 3 to 12 percent slopes_1ymx_0",66167,10246,58277,36407,"10","CO"
20233883,58278,10246,"co669_alamosa_1_75_alamosa loam_1ymy_0",66113,10246,58278,36390,"75","CO"
20233884,58278,10246,"co669_hesperus_0_15_alamosa loam_1ymy_0",66114,10246,58278,36390,"15","CO"
20233885,58278,10246,"co669_big blue_0_10_alamosa loam_1ymy_0",66115,10246,58278,36390,"10","CO"
20233933,58279,10246,"co669_clayburn_1_80_clayburn cobbly loam, 6 to 25 percent slopes_1ymz_0",66170,10246,58279,36408,"80","CO"
20233934,58279,10246,"co669_anvik_0_3_clayburn cobbly loam, 6 to 25 percent slopes_1ymz_0",66173,10246,58279,36408,"3","CO"
20233935,58279,10246,"co669_shawa_0_5_clayburn cobbly loam, 6 to 25 percent slopes_1ymz_0",66172,10246,58279,36408,"5","CO"
20233936,58279,10246,"co669_nordicol_0_12_clayburn cobbly loam, 6 to 25 percent slopes_1ymz_0",66171,10246,58279,36408,"12","CO"
20233937,58280,10246,"co669_chris_0_20_coni loam, 4 to 25 percent slopes_1yn0_0",66175,10246,58280,36409,"20","CO"
20233938,58280,10246,"co669_coni_1_75_coni loam, 4 to 25 percent slopes_1yn0_0",66174,10246,58280,36409,"75","CO"
20233939,58280,10246,"co669_other soils_0_5_coni loam, 4 to 25 percent slopes_1yn0_0",66176,10246,58280,36409,"5","CO"
20233940,58281,10246,"co669_plome_0_5_corta loam, 1 to 3 percent slopes_1yn1_0",66179,10246,58281,36410,"5","CO"
20233941,58281,10246,"co669_corta_1_75_corta loam, 1 to 3 percent slopes_1yn1_0",66177,10246,58281,36410,"75","CO"
20233942,58281,10246,"co669_falfa_0_20_corta loam, 1 to 3 percent slopes_1yn1_0",66178,10246,58281,36410,"20","CO"
20233943,58282,10246,"co669_plome_0_15_corta loam, 3 to 8 percent slopes_1yn2_0",66181,10246,58282,36411,"15","CO"
20233944,58282,10246,"co669_corta_1_80_corta loam, 3 to 8 percent slopes_1yn2_0",66180,10246,58282,36411,"80","CO"
20233945,58282,10246,"co669_falfa_0_5_corta loam, 3 to 8 percent slopes_1yn2_0",66182,10246,58282,36411,"5","CO"
20233946,58283,10246,"co669_rock outcrop_1_25_dulce-travessilla-rock outcrop complex, 6 to 50 percent slopes_1yn3_0",66185,10246,58283,36412,"25","CO"
20233947,58283,10246,"co669_dulce_1_40_dulce-travessilla-rock outcrop complex, 6 to 50 percent slopes_1yn3_0",66183,10246,58283,36412,"40","CO"
20233948,58283,10246,"co669_travessilla_1_25_dulce-travessilla-rock outcrop complex, 6 to 50 percent slopes_1yn3_0",66184,10246,58283,36412,"25","CO"
20233949,58283,10246,"co669_other soils_0_10_dulce-travessilla-rock outcrop complex, 6 to 50 percent slopes_1yn3_0",66186,10246,58283,36412,"10","CO"
20233950,58284,10246,"co669_other soils_0_5_durango cobbly loam, 3 to 20 percent slopes_1yn4_0",66189,10246,58284,36413,"5","CO"
20233951,58284,10246,"co669_witt_0_15_durango cobbly loam, 3 to 20 percent slopes_1yn4_0",66188,10246,58284,36413,"15","CO"
20233952,58284,10246,"co669_durango_1_80_durango cobbly loam, 3 to 20 percent slopes_1yn4_0",66187,10246,58284,36413,"80","CO"
20233953,58285,10246,"co669_falfa_1_80_falfa clay loam, 1 to 3 percent slopes_1yn5_0",66190,10246,58285,36414,"80","CO"
20233954,58285,10246,"co669_other soils_0_10_falfa clay loam, 1 to 3 percent slopes_1yn5_0",66192,10246,58285,36414,"10","CO"
20233955,58285,10246,"co669_corta_0_10_falfa clay loam, 1 to 3 percent slopes_1yn5_0",66191,10246,58285,36414,"10","CO"
20233956,58286,10246,"co669_aquents_0_2_falfa clay loam, 3 to 8 percent slopes_1yn6_0",66194,10246,58286,36415,"2","CO"
20233957,58286,10246,"co669_corta_0_8_falfa clay loam, 3 to 8 percent slopes_1yn6_0",66195,10246,58286,36415,"8","CO"
20233958,58286,10246,"co669_other soils_0_10_falfa clay loam, 3 to 8 percent slopes_1yn6_0",66196,10246,58286,36415,"10","CO"
20233959,58286,10246,"co669_falfa_1_80_falfa clay loam, 3 to 8 percent slopes_1yn6_0",66193,10246,58286,36415,"80","CO"
20233960,58287,10246,"co669_fluvaquents_1_95_fluvaquents, sandy, frequently flooded_1yn7_frequently flooded",66197,10246,58287,36416,"95","CO"
20233961,58287,10246,"co669_other soils_0_5_fluvaquents, sandy, frequently flooded_1yn7_0",66198,10246,58287,36416,"5","CO"
20233962,58288,10246,"co669_other soils_0_10_fortwingate stony fine sandy loam, 3 to 12 percent slopes_1yn8_0",66201,10246,58288,36417,"10","CO"
20233963,58288,10246,"co669_goldvale_0_15_fortwingate stony fine sandy loam, 3 to 12 percent slopes_1yn8_0",66200,10246,58288,36417,"15","CO"
20233964,58288,10246,"co669_fortwingate_1_75_fortwingate stony fine sandy loam, 3 to 12 percent slopes_1yn8_0",66199,10246,58288,36417,"75","CO"
20234141,58289,10246,"co669_scotch_0_5_weminuche like loam, 12 to 45 percent slopes_2wr8c_0",2483774,10246,2673761,773651,"5","CO"
20234142,58289,10246,"co669_weminuche like_1_90_weminuche like loam, 12 to 45 percent slopes_2wr8c_0",2483775,10246,2673761,773651,"90","CO"
