"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20316341,1606036,11061,"de001_hammonton_0_5_fallsington sandy loams, 0 to 2 percent slopes, mid-atlantic coastal plain_2s96z_0",2170622,11061,2570891,660953,5,"DE"
20316342,1606036,11061,"de001_fallsington_1_25_fallsington sandy loams, 0 to 2 percent slopes, mid-atlantic coastal plain_2s96z_drained",2170625,11061,2570891,660953,25,"DE"
20316343,1606036,11061,"de001_fallsington_1_48_fallsington sandy loams, 0 to 2 percent slopes, mid-atlantic coastal plain_2s96z_undrained",2170624,11061,2570891,660953,48,"DE"
20316344,1606036,11061,"de001_woodstown_0_7_fallsington sandy loams, 0 to 2 percent slopes, mid-atlantic coastal plain_2s96z_0",2170627,11061,2570891,660953,7,"DE"
20316345,1606036,11061,"de001_marshyhope_0_8_fallsington sandy loams, 0 to 2 percent slopes, mid-atlantic coastal plain_2s96z_0",2170626,11061,2570891,660953,8,"DE"
20316346,1606036,11061,"de001_othello_0_5_fallsington sandy loams, 0 to 2 percent slopes, mid-atlantic coastal plain_2s96z_0",2170623,11061,2570891,660953,5,"DE"
20316335,1606034,11061,"de001_fallsington_1_37_fallsington loams, 0 to 2 percent slopes, mid-altlantic coastal plain_2s96t_drained",2170602,11061,2570886,660949,37,"DE"
20316336,1606034,11061,"de001_othello_0_6_fallsington loams, 0 to 2 percent slopes, mid-altlantic coastal plain_2s96t_0",2170600,11061,2570886,660949,6,"DE"
20316337,1606034,11061,"de001_fallsington_1_38_fallsington loams, 0 to 2 percent slopes, mid-altlantic coastal plain_2s96t_undrained",2170601,11061,2570886,660949,38,"DE"
20316338,1606034,11061,"de001_marshyhope_0_5_fallsington loams, 0 to 2 percent slopes, mid-altlantic coastal plain_2s96t_0",2170604,11061,2570886,660949,5,"DE"
20316339,1606034,11061,"de001_woodstown_0_7_fallsington loams, 0 to 2 percent slopes, mid-altlantic coastal plain_2s96t_0",2170605,11061,2570886,660949,7,"DE"
20316340,1606034,11061,"de001_hammonton_0_7_fallsington loams, 0 to 2 percent slopes, mid-altlantic coastal plain_2s96t_0",2170599,11061,2570886,660949,7,"DE"
20316326,1727157,11061,"de001_udorthents_0_5_udorthents, refuse substratum, 5 to 35 percent slopes_1vz7r_borrow area",1697512,11061,1727157,518857,5,"DE"
20316327,1727157,11061,"de001_klej_0_5_udorthents, refuse substratum, 5 to 35 percent slopes_1vz7r_0",1697511,11061,1727157,518857,5,"DE"
20316328,1727157,11061,"de001_udorthents_0_5_udorthents, refuse substratum, 5 to 35 percent slopes_1vz7r_loamy",1697513,11061,1727157,518857,5,"DE"
20316329,1727157,11061,"de001_udorthents_1_85_udorthents, refuse substratum, 5 to 35 percent slopes_1vz7r_refuse substratum",1686974,11061,1727157,518857,85,"DE"
