"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20288972,1428579,10902,"ga021_water_1_100_water_1jyk6_0",1199669,10902,1428579,456342,"100","GA"
20289237,124144,10902,"ga021_davidson_1_100_davidson clay loam, 6 to 10 percent slopes, moderately eroded_2tx3h_moderately eroded",2222438,10902,2618833,713876,"100","GA"
20289238,124143,10902,"ga021_davidson_1_90_davidson loam, 2 to 6 percent slopes_2tx4g_0",2222500,10902,2618863,713912,"90","GA"
20288766,124134,10902,"ga021_ailey_1_100_ailey loamy sand, 2 to 6 percent slopes_455b_0",177152,10902,124134,90390,"100","GA"
20288685,124135,10902,"ga021_hydraquents_0_8_chewacla association_455c_0",1483734,10902,124135,90391,"8","GA"
20288686,124135,10902,"ga021_chewacla_1_92_chewacla association_455c_0",177153,10902,124135,90391,"92","GA"
20289147,124138,10902,"ga021_cecil_1_100_cecil sandy loam, 10 to 17 percent slopes_455g_0",177157,10902,124138,90394,"100","GA"
20289148,124139,10902,"ga021_cecil_1_60_cecil-urban land complex, 2 to 10 percent slopes_455h_0",177158,10902,124139,90395,"60","GA"
20289149,124139,10902,"ga021_urban land_1_40_cecil-urban land complex, 2 to 10 percent slopes_455h_0",177159,10902,124139,90395,"40","GA"
20289150,124140,10902,"ga021_congaree_1_100_congaree silt loam_455j_0",177160,10902,124140,90396,"100","GA"
20289151,124141,10902,"ga021_cowarts_1_100_cowarts sandy loam, 2 to 5 percent slopes_455k_0",177161,10902,124141,90397,"100","GA"
20288687,124142,10902,"ga021_cowarts_1_100_cowarts sandy loam, 5 to 8 percent slopes_455l_0",177162,10902,124142,90398,"100","GA"
20288767,124145,10902,"ga021_davidson_1_100_davidson clay loam, 10 to 17 percent slopes, eroded_455p_0",177165,10902,124145,90401,"100","GA"
20288595,124146,10902,"ga021_faceville_1_100_faceville sandy loam, 0 to 2 percent slopes_455q_0",177166,10902,124146,90402,"100","GA"
20288596,124147,10902,"ga021_faceville_1_100_faceville sandy loam, 2 to 5 percent slopes_455r_0",177167,10902,124147,90403,"100","GA"
20288597,124148,10902,"ga021_faceville_1_100_faceville sandy loam, 5 to 8 percent slopes_455s_0",177168,10902,124148,90404,"100","GA"
20288598,124149,10902,"ga021_fuquay_1_100_fuquay loamy sand, 1 to 5 percent slopes_455t_0",177169,10902,124149,90405,"100","GA"
20288599,124150,10902,"ga021_fuquay_1_100_fuquay loamy sand, 5 to 8 percent slopes_455v_0",177170,10902,124150,90406,"100","GA"
20288688,124151,10902,"ga021_grady_1_100_grady sandy loam_455w_0",177171,10902,124151,90407,"100","GA"
20288768,124152,10902,"ga021_hydraquents_1_100_hydraquents_455x_0",177172,10902,124152,90408,"100","GA"
20288689,124153,10902,"ga021_helena_1_100_helena sandy loam, 2 to 6 percent slopes_455y_0",177173,10902,124153,90409,"100","GA"
20288769,124154,10902,"ga021_helena_1_100_helena sandy loam, 6 to 10 percent slopes_455z_0",177174,10902,124154,90410,"100","GA"
20289152,124155,10902,"ga021_lakeland_1_100_lakeland sand, 2 to 8 percent slopes_4560_0",177175,10902,124155,90411,"100","GA"
20289153,124156,10902,"ga021_lakeland_1_100_lakeland sand, 8 to 17 percent slopes_4561_0",177176,10902,124156,90412,"100","GA"
20289154,124157,10902,"ga021_norfolk_1_100_norfolk sandy loam, 0 to 2 percent slopes_4562_0",177177,10902,124157,90413,"100","GA"
20289155,124158,10902,"ga021_norfolk_1_100_norfolk sandy loam, 2 to 5 percent slopes_4563_0",177178,10902,124158,90414,"100","GA"
20288770,124159,10902,"ga021_orangeburg_1_100_orangeburg sandy loam, 0 to 2 percent slopes_4564_0",177179,10902,124159,90415,"100","GA"
20288690,124160,10902,"ga021_orangeburg_1_100_orangeburg sandy loam, 2 to 5 percent slopes_4565_0",177180,10902,124160,90416,"100","GA"
20288771,124161,10902,"ga021_orangeburg_1_100_orangeburg sandy loam, 5 to 8 percent slopes_4566_0",177181,10902,124161,90417,"100","GA"
20288691,124162,10902,"ga021_orangeburg_1_100_orangeburg sandy loam, 8 to 12 percent slopes_4567_0",177182,10902,124162,90418,"100","GA"
20288600,124163,10902,"ga021_orangeburg_1_65_orangeburg-urban land complex, 0 to 8 percent slopes_4568_0",177183,10902,124163,90419,"65","GA"
20288601,124163,10902,"ga021_urban land_1_35_orangeburg-urban land complex, 0 to 8 percent slopes_4568_0",177184,10902,124163,90419,"35","GA"
20288602,124164,10902,"ga021_osier_1_100_osier loamy sand_4569_0",177185,10902,124164,90420,"100","GA"
20288603,124165,10902,"ga021_pits_1_100_pits_456b_0",177186,10902,124165,90421,"100","GA"
20288604,124166,10902,"ga021_urban land_1_100_urban land_456c_0",177187,10902,124166,90422,"100","GA"
20288692,124167,10902,"ga021_vance_1_100_vance sandy loam, 2 to 6 percent slopes_456d_0",177188,10902,124167,90423,"100","GA"
20288772,124168,10902,"ga021_vance_1_100_vance sandy loam, 6 to 10 percent slopes_456f_0",177189,10902,124168,90424,"100","GA"
20288693,124169,10902,"ga021_vance_1_100_vance sandy clay loam, 10 to 17 percent slopes, eroded_456g_0",177190,10902,124169,90425,"100","GA"
20288773,124170,10902,"ga021_vaucluse_1_100_vaucluse loamy sand, 4 to 8 percent slopes_456h_0",177191,10902,124170,90426,"100","GA"
20289156,124171,10902,"ga021_vaucluse_1_100_vaucluse loamy sand, 8 to 17 percent slopes_456j_0",177192,10902,124171,90427,"100","GA"
20289157,124172,10902,"ga021_vaucluse_1_60_vaucluse-urban land complex, 2 to 8 percent slopes_456k_0",177193,10902,124172,90428,"60","GA"
20289158,124172,10902,"ga021_urban land_1_40_vaucluse-urban land complex, 2 to 8 percent slopes_456k_0",177194,10902,124172,90428,"40","GA"
20289159,124173,10902,"ga021_urban land_1_40_vaucluse-urban land complex, 8 to 15 percent slopes_456l_0",177196,10902,124173,90429,"40","GA"
20289160,124173,10902,"ga021_vaucluse_1_60_vaucluse-urban land complex, 8 to 15 percent slopes_456l_0",177195,10902,124173,90429,"60","GA"
20289161,124174,10902,"ga021_wilkes_1_100_wilkes gravelly sandy loam, 5 to 10 percent slopes_456m_0",177197,10902,124174,90430,"100","GA"
20289162,124175,10902,"ga021_wilkes_1_100_wilkes gravelly sandy loam, 10 to 17 percent slopes_456n_0",177198,10902,124175,90431,"100","GA"
20289387,124136,10902,"ga021_cecil_1_95_cecil sandy loam, 2 to 6 percent slopes_2q7j7_0",1941605,10902,2509674,585070,"95","GA"
20289026,124137,10902,"ga021_cecil_1_88_cecil sandy loam, 6 to 10 percent slopes_2q7j8_0",1941608,10902,2509675,585071,"88","GA"
20362716,124195,10903,"ga067_gwinnett_1_100_gwinnett clay loam, 15 to 25 percent slopes, eroded_4579_0",177223,10903,124195,90448,"100","GA"
20362786,124196,10903,"ga067_gwinnett_1_100_gwinnett loam, 2 to 6 percent slopes, eroded_457b_0",177224,10903,124196,90449,"100","GA"
20362717,124197,10903,"ga067_gwinnett_1_100_gwinnett loam, 6 to 10 percent slopes, eroded_457c_0",177225,10903,124197,90450,"100","GA"
20362787,124198,10903,"ga067_gwinnett_1_100_gwinnett loam, 10 to 15 percent slopes, eroded_457d_0",177226,10903,124198,90451,"100","GA"
20362718,124199,10903,"ga067_hiwassee_1_100_hiwassee loam, 2 to 6 percent slopes_457f_0",177227,10903,124199,90452,"100","GA"
20362903,124200,10903,"ga067_hiwassee_1_100_hiwassee clay loam, 6 to 10 percent slopes, eroded_457g_0",177228,10903,124200,90453,"100","GA"
20362904,124201,10903,"ga067_hiwassee_1_100_hiwassee clay loam, 10 to 15 percent slopes, eroded_457h_0",177229,10903,124201,90454,"100","GA"
20362905,124202,10903,"ga067_helena_1_100_helena sandy loam, 2 to 10 percent slopes_457j_0",177230,10903,124202,90455,"100","GA"
20362719,124204,10903,"ga067_louisa_1_100_louisa soils, 25 to 60 percent slopes_457l_0",177232,10903,124204,90457,"100","GA"
20362788,124205,10903,"ga067_louisa_1_100_louisa gravelly sandy loam, 10 to 25 percent slopes_457m_0",177233,10903,124205,90458,"100","GA"
20362789,124207,10903,"ga067_madison_1_100_madison clay loam, 6 to 10 percent slopes, severely eroded_457p_0",177235,10903,124207,90460,"100","GA"
20362838,124208,10903,"ga067_madison_1_100_madison clay loam, 15 to 25 percent slopes, severely eroded_457q_0",177236,10903,124208,90461,"100","GA"
20362840,124209,10903,"ga067_musella_1_70_musella and pacolet stony soils, 10 to 45 percent slopes_457r_0",177237,10903,124209,90462,"70","GA"
20362839,124209,10903,"ga067_pacolet_1_30_musella and pacolet stony soils, 10 to 45 percent slopes_457r_0",177238,10903,124209,90462,"30","GA"
20362841,124211,10903,"ga067_madison_1_100_madison sandy loam, 6 to 10 percent slopes, eroded_457t_0",177240,10903,124211,90464,"100","GA"
20362790,124212,10903,"ga067_madison_1_100_madison sandy loam, 10 to 15 percent slopes, eroded_457v_0",177241,10903,124212,90465,"100","GA"
20362720,124213,10903,"ga067_musella_1_100_musella gravelly soils, 6 to 15 percent slopes, eroded_457w_0",177242,10903,124213,90466,"100","GA"
20362791,124214,10903,"ga067_musella_1_100_musella gravelly soils, 15 to 25 percent slopes, severely eroded_457x_0",177243,10903,124214,90467,"100","GA"
20362721,124215,10903,"ga067_pacolet_1_25_madison and pacolet soils, 10 to 15 percent slopes, severely eroded_457y_0",177245,10903,124215,90468,"25","GA"
20362722,124215,10903,"ga067_madison_1_75_madison and pacolet soils, 10 to 15 percent slopes, severely eroded_457y_0",177244,10903,124215,90468,"75","GA"
20362906,124216,10903,"ga067_pacolet_1_30_madison and pacolet soils, 15 to 25 percent slopes, eroded_457z_0",177247,10903,124216,90469,"30","GA"
20362907,124216,10903,"ga067_madison_1_70_madison and pacolet soils, 15 to 25 percent slopes, eroded_457z_0",177246,10903,124216,90469,"70","GA"
20362908,124217,10903,"ga067_pacolet_1_100_pacolet sandy loam, 10 to 15 percent slopes_4580_0",177248,10903,124217,90470,"100","GA"
20362909,124219,10903,"ga067_roanoke_1_100_roanoke silt loam_4582_0",177250,10903,124219,90472,"100","GA"
20362792,124221,10903,"ga067_toccoa_1_100_toccoa sandy loam, local alluvium_4584_0",177252,10903,124221,90474,"100","GA"
20362723,124222,10903,"ga067_borrow pits_1_49_urban land and borrow pits_4585_0",177253,10903,124222,90475,"49","GA"
20362724,124222,10903,"ga067_urban land_1_51_urban land and borrow pits_4585_0",177254,10903,124222,90475,"51","GA"
20362793,124223,10903,"ga067_urban land_1_100_urban land_4586_0",177255,10903,124223,90476,"100","GA"
20362726,124224,10903,"ga067_appling_1_40_urban land-appling complex, 2 to 10 percent slopes_4587_0",177256,10903,124224,90477,"40","GA"
20362725,124224,10903,"ga067_urban land_1_60_urban land-appling complex, 2 to 10 percent slopes_4587_0",177257,10903,124224,90477,"60","GA"
20362843,124225,10903,"ga067_urban land_1_60_urban land-cecil complex, 2 to 10 percent slopes_4588_0",177259,10903,124225,90478,"60","GA"
20362842,124225,10903,"ga067_cecil_1_40_urban land-cecil complex, 2 to 10 percent slopes_4588_0",177258,10903,124225,90478,"40","GA"
20362845,124226,10903,"ga067_gwinnett_1_40_urban land-gwinnett complex, 2 to 10 percent slopes_4589_0",177260,10903,124226,90479,"40","GA"
20362844,124226,10903,"ga067_urban land_1_60_urban land-gwinnett complex, 2 to 10 percent slopes_4589_0",177261,10903,124226,90479,"60","GA"
