"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
19753920,173889,11300,"il005_cowden_0_5_oconee-darmstadt silt loams, 0 to 2 percent slopes_2ytt0_0",2676736,11300,2735781,844925,"5","IL"
19753921,173889,11300,"il005_piasa_0_5_oconee-darmstadt silt loams, 0 to 2 percent slopes_2ytt0_0",2676737,11300,2735781,844925,"5","IL"
19753922,173889,11300,"il005_darmstadt_1_40_oconee-darmstadt silt loams, 0 to 2 percent slopes_2ytt0_0",2676735,11300,2735781,844925,"40","IL"
19753923,173889,11300,"il005_oconee_1_50_oconee-darmstadt silt loams, 0 to 2 percent slopes_2ytt0_0",2676734,11300,2735781,844925,"50","IL"
19753990,173863,11300,"il005_titus_1_90_titus silty clay loam, 0 to 2 percent slopes, frequently flooded_2ytt4_frequently flooded",2676751,11300,2735785,844929,"90","IL"
19753991,173863,11300,"il005_tice_0_10_titus silty clay loam, 0 to 2 percent slopes, frequently flooded_2ytt4_frequently flooded",2676753,11300,2735785,844929,"10","IL"
19753950,173858,11300,"il005_birds_1_90_birds silt loam, 0 to 2 percent slopes, frequently flooded, long duration_2zby0_frequently flooded, long duration",2739928,11300,2751281,865524,"90","IL"
19753951,173858,11300,"il005_wakeland_0_10_birds silt loam, 0 to 2 percent slopes, frequently flooded, long duration_2zby0_frequently flooded",2739929,11300,2751281,865524,"10","IL"
19754003,173832,11300,"il005_cowden_1_100_cowden silt loam_5twh_0",253590,11300,173832,131926,"100","IL"
19753897,173838,11300,"il005_cowden_0_1_douglas silt loam, 2 to 7 percent slopes_5twp_0",1550252,11300,173838,131931,"1","IL"
19753898,173838,11300,"il005_piasa_0_1_douglas silt loam, 2 to 7 percent slopes_5twp_0",1685363,11300,173838,131931,"1","IL"
19753899,173838,11300,"il005_douglas_1_95_douglas silt loam, 2 to 7 percent slopes_5twp_0",253597,11300,173838,131931,"95","IL"
19753963,173844,11300,"il005_parke_1_100_parke silt loam, 5 to 12 percent slopes, eroded_5tww_0",253578,11300,173844,131918,"100","IL"
19753964,173845,11300,"il005_rushville_1_100_rushville silt loam_5twx_0",253579,11300,173845,131919,"100","IL"
19753965,173850,11300,"il005_hosmer_1_100_hosmer silt loam, 2 to 5 percent slopes_5tx2_0",253605,11300,173850,131935,"100","IL"
19753900,173853,11300,"il005_kendall_1_95_kendall silt loam, 1 to 5 percent slopes_5tx5_0",253608,11300,173853,131938,"95","IL"
19753901,173853,11300,"il005_birds_0_1_kendall silt loam, 1 to 5 percent slopes_5tx5_0",1685364,11300,173853,131938,"1","IL"
19753934,173854,11300,"il005_beaucoup_0_1_tice silty clay loam, occasionally flooded, brief duration_5tx6_0",1550239,11300,173854,131939,"1","IL"
