"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
19908391,163427,11431,"in001_sloan_0_3_armiesburg silty clay loam, frequently flooded_5h1v_0",242331,11431,163427,122370,3,"IN"
19908392,163427,11431,"in001_armiesburg_1_90_armiesburg silty clay loam, frequently flooded_5h1v_0",242329,11431,163427,122370,90,"IN"
19908393,163427,11431,"in001_saranac_0_4_armiesburg silty clay loam, frequently flooded_5h1v_0",242330,11431,163427,122370,4,"IN"
19908394,163427,11431,"in001_tice_0_3_armiesburg silty clay loam, frequently flooded_5h1v_0",1503702,11431,163427,122370,3,"IN"
19908395,163430,11431,"in001_shoals_0_5_chagrin loam, frequently flooded_5h1y_0",242340,11431,163430,122373,5,"IN"
19908396,163430,11431,"in001_sloan_0_5_chagrin loam, frequently flooded_5h1y_0",242339,11431,163430,122373,5,"IN"
19908397,163430,11431,"in001_chagrin_1_90_chagrin loam, frequently flooded_5h1y_0",242338,11431,163430,122373,90,"IN"
19908432,163434,11431,"in001_adrian_0_7_houghton muck, drained_5h22_drained",286154,11431,163434,155023,7,"IN"
19908433,163434,11431,"in001_palms_0_5_houghton muck, drained_5h22_drained",286163,11431,163434,155023,5,"IN"
19908434,163434,11431,"in001_houghton_1_75_houghton muck, drained_5h22_drained",283326,11431,163434,155023,75,"IN"
19908435,163434,11431,"in001_muskego_0_6_houghton muck, drained_5h22_drained",286155,11431,163434,155023,6,"IN"
19908436,163434,11431,"in001_edwards_0_7_houghton muck, drained_5h22_drained",286156,11431,163434,155023,7,"IN"
19908422,163435,11431,"in001_williamstown_0_5_martinsville loam, 0 to 2 percent slopes_5h23_0",280049,11431,163435,123738,5,"IN"
19908423,163435,11431,"in001_wawaka_0_5_martinsville loam, 0 to 2 percent slopes_5h23_0",280050,11431,163435,123738,5,"IN"
19908424,163435,11431,"in001_haney_0_5_martinsville loam, 0 to 2 percent slopes_5h23_0",280048,11431,163435,123738,5,"IN"
19908425,163435,11431,"in001_digby_0_5_martinsville loam, 0 to 2 percent slopes_5h23_0",280047,11431,163435,123738,5,"IN"
19908426,163435,11431,"in001_martinsville_1_80_martinsville loam, 0 to 2 percent slopes_5h23_0",243310,11431,163435,123738,80,"IN"
19908427,163436,11431,"in001_wawaka_0_5_martinsville loam, 2 to 6 percent slopes_5h24_0",280053,11431,163436,123739,5,"IN"
19908428,163436,11431,"in001_digby_0_5_martinsville loam, 2 to 6 percent slopes_5h24_0",280051,11431,163436,123739,5,"IN"
19908429,163436,11431,"in001_rawson_0_5_martinsville loam, 2 to 6 percent slopes_5h24_0",280054,11431,163436,123739,5,"IN"
19908430,163436,11431,"in001_martinsville_1_80_martinsville loam, 2 to 6 percent slopes_5h24_0",243311,11431,163436,123739,80,"IN"
19908431,163436,11431,"in001_haney_0_5_martinsville loam, 2 to 6 percent slopes_5h24_0",280052,11431,163436,123739,5,"IN"
19908398,163440,11431,"in001_morley_1_95_morley silty clay loam, 12 to 18 percent slopes, eroded_5h28_0",242354,11431,163440,122382,95,"IN"
19908399,163440,11431,"in001_glynwood_0_5_morley silty clay loam, 12 to 18 percent slopes, eroded_5h28_0",1503796,11431,163440,122382,5,"IN"
19908400,163441,11431,"in001_st. clair_0_5_nappanee silt loam, 0 to 3 percent slopes_5h29_0",1503802,11431,163441,122383,5,"IN"
19908401,163441,11431,"in001_pewamo_0_5_nappanee silt loam, 0 to 3 percent slopes_5h29_0",242356,11431,163441,122383,5,"IN"
19908402,163441,11431,"in001_nappanee_1_90_nappanee silt loam, 0 to 3 percent slopes_5h29_0",242355,11431,163441,122383,90,"IN"
19908403,163444,11431,"in001_rawson_1_90_rawson loam, 2 to 6 percent slopes_5h2d_0",242359,11431,163444,122386,90,"IN"
19908404,163444,11431,"in001_pewamo_0_5_rawson loam, 2 to 6 percent slopes_5h2d_0",242360,11431,163444,122386,5,"IN"
19908405,163444,11431,"in001_haskins_0_5_rawson loam, 2 to 6 percent slopes_5h2d_0",1503809,11431,163444,122386,5,"IN"
19908406,163445,11431,"in001_morley_0_5_st. clair clay loam, 3 to 8 percent slopes, eroded_5h2f_0",1503813,11431,163445,122387,5,"IN"
19908407,163445,11431,"in001_nappanee_0_5_st. clair clay loam, 3 to 8 percent slopes, eroded_5h2f_0",1503814,11431,163445,122387,5,"IN"
19908408,163445,11431,"in001_st. clair_1_90_st. clair clay loam, 3 to 8 percent slopes, eroded_5h2f_0",242361,11431,163445,122387,90,"IN"
19908409,163447,11431,"in001_saranac_0_8_shoals clay loam, frequently flooded_5h2h_0",242365,11431,163447,122389,8,"IN"
19908410,163447,11431,"in001_shoals_1_85_shoals clay loam, frequently flooded_5h2h_0",242363,11431,163447,122389,85,"IN"
19908411,163447,11431,"in001_sloan_0_7_shoals clay loam, frequently flooded_5h2h_0",242364,11431,163447,122389,7,"IN"
19908412,163448,11431,"in001_shoals_0_10_sloan loam, frequently flooded_5h2j_0",1503821,11431,163448,122390,10,"IN"
19908413,163448,11431,"in001_sloan_1_90_sloan loam, frequently flooded_5h2j_0",242366,11431,163448,122390,90,"IN"
19908414,163449,11431,"in001_tice_1_90_tice silty clay loam, frequently flooded_5h2k_0",242367,11431,163449,122391,90,"IN"
19908415,163449,11431,"in001_saranac_0_5_tice silty clay loam, frequently flooded_5h2k_0",242368,11431,163449,122391,5,"IN"
19908416,163449,11431,"in001_armiesburg_0_5_tice silty clay loam, frequently flooded_5h2k_0",1503822,11431,163449,122391,5,"IN"
19908389,163450,11431,"in001_udorthents_1_100_udorthents, loamy_5h2l_loamy",243833,11431,163450,124313,100,"IN"
19908390,163451,11431,"in001_water_1_100_water_5h2m_0",243882,11431,163451,124336,100,"IN"
19908417,163453,11431,"in001_milford_0_3_whitaker silt loam_5h2p_0",242373,11431,163453,122395,3,"IN"
19908418,163453,11431,"in001_martinsville_0_2_whitaker silt loam_5h2p_0",1503824,11431,163453,122395,2,"IN"
19908419,163453,11431,"in001_whitaker_1_95_whitaker silt loam_5h2p_0",242372,11431,163453,122395,95,"IN"
19908484,2567843,11431,"in001_shoals_0_6_sloan silty clay loam, 0 to 1 percent slopes, frequently flooded_2ydcy_0",2645133,11431,2722883,831125,6,"IN"
