"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20422998,1427110,10532,"ks001_verdigris_0_6_mason silt loam, 0 to 1 percent slopes, rarely flooded_2w21z_0",2402834,10532,2653382,751075,6,"KS"
20422999,1427110,10532,"ks001_osage_0_2_mason silt loam, 0 to 1 percent slopes, rarely flooded_2w21z_0",2402833,10532,2653382,751075,2,"KS"
20423000,1427110,10532,"ks001_wynona_0_2_mason silt loam, 0 to 1 percent slopes, rarely flooded_2w21z_0",2387340,10532,2653382,751075,2,"KS"
20423001,1427110,10532,"ks001_mason_1_90_mason silt loam, 0 to 1 percent slopes, rarely flooded_2w21z_0",2402835,10532,2653382,751075,90,"KS"
20423002,1427129,10532,"ks001_shidler_0_4_nowata silt loam, 3 to 7 percent slopes_2vwg4_0",2370096,10532,2647993,745336,4,"KS"
20423003,1427129,10532,"ks001_kenoma_0_10_nowata silt loam, 3 to 7 percent slopes_2vwg4_0",2370095,10532,2647993,745336,10,"KS"
20423004,1427129,10532,"ks001_nowata_1_85_nowata silt loam, 3 to 7 percent slopes_2vwg4_0",2370092,10532,2647993,745336,85,"KS"
20423005,1427129,10532,"ks001_rock outcrop_0_1_nowata silt loam, 3 to 7 percent slopes_2vwg4_0",2370094,10532,2647993,745336,1,"KS"
20423063,1427104,10532,"ks001_lanton_1_90_lanton silt loam, 0 to 2 percent slopes, occasionally flooded_2w7l4_0",2402891,10532,2658688,757482,90,"KS"
20423064,1427104,10532,"ks001_mason_0_3_lanton silt loam, 0 to 2 percent slopes, occasionally flooded_2w7l4_0",2387389,10532,2658688,757482,3,"KS"
20423065,1427104,10532,"ks001_verdigris_0_2_lanton silt loam, 0 to 2 percent slopes, occasionally flooded_2w7l4_0",2387388,10532,2658688,757482,2,"KS"
20423066,1427104,10532,"ks001_osage_0_5_lanton silt loam, 0 to 2 percent slopes, occasionally flooded_2w7l4_0",2387387,10532,2658688,757482,5,"KS"
20422969,1427105,10532,"ks001_verdigris_0_3_leanna silt loam, 0 to 2 percent slopes, occasionally flooded_2w7kx_0",2387338,10532,2658681,757474,3,"KS"
20422970,1427105,10532,"ks001_leanna_1_90_leanna silt loam, 0 to 2 percent slopes, occasionally flooded_2w7kx_0",2387336,10532,2658681,757474,90,"KS"
20422971,1427105,10532,"ks001_mason_0_2_leanna silt loam, 0 to 2 percent slopes, occasionally flooded_2w7kx_0",2387339,10532,2658681,757474,2,"KS"
20422972,1427105,10532,"ks001_osage_0_5_leanna silt loam, 0 to 2 percent slopes, occasionally flooded_2w7kx_0",2387337,10532,2658681,757474,5,"KS"
20422981,1427114,10532,"ks001_talihina_0_2_bates-collinsville complex, 3 to 15 percent slopes_2tgt8_0",2262641,10532,2606054,699748,2,"KS"
20422982,1427114,10532,"ks001_olpe_0_2_bates-collinsville complex, 3 to 15 percent slopes_2tgt8_0",2262642,10532,2606054,699748,2,"KS"
20422983,1427114,10532,"ks001_dennis_0_8_bates-collinsville complex, 3 to 15 percent slopes_2tgt8_0",2262639,10532,2606054,699748,8,"KS"
20422984,1427114,10532,"ks001_collinsville_1_35_bates-collinsville complex, 3 to 15 percent slopes_2tgt8_0",2262638,10532,2606054,699748,35,"KS"
20422985,1427114,10532,"ks001_bates_1_48_bates-collinsville complex, 3 to 15 percent slopes_2tgt8_0",2262637,10532,2606054,699748,48,"KS"
20422986,1427114,10532,"ks001_eram_0_5_bates-collinsville complex, 3 to 15 percent slopes_2tgt8_0",2262665,10532,2606054,699748,5,"KS"
20423132,1427106,10532,"ks001_osage_1_85_osage silty clay loam, 0 to 1 percent slopes, occasionally flooded_2tgsy_0",2262592,10532,2606044,699738,85,"KS"
20423133,1427106,10532,"ks001_osage_0_2_osage silty clay loam, 0 to 1 percent slopes, occasionally flooded_2tgsy_ponded",2262596,10532,2606044,699738,2,"KS"
20423134,1427106,10532,"ks001_wynona_0_5_osage silty clay loam, 0 to 1 percent slopes, occasionally flooded_2tgsy_0",2262594,10532,2606044,699738,5,"KS"
20423135,1427106,10532,"ks001_verdigris_0_3_osage silty clay loam, 0 to 1 percent slopes, occasionally flooded_2tgsy_0",2262593,10532,2606044,699738,3,"KS"
20423136,1427106,10532,"ks001_mason_0_5_osage silty clay loam, 0 to 1 percent slopes, occasionally flooded_2tgsy_0",2262595,10532,2606044,699738,5,"KS"
20423127,1427107,10532,"ks001_hepler_0_3_osage silty clay, 0 to 1 percent slopes, occasionally flooded_2tgsw_0",2262584,10532,2606042,699736,3,"KS"
20423128,1427107,10532,"ks001_osage_0_1_osage silty clay, 0 to 1 percent slopes, occasionally flooded_2tgsw_ponded",2262590,10532,2606042,699736,1,"KS"
20423129,1427107,10532,"ks001_wynona_0_5_osage silty clay, 0 to 1 percent slopes, occasionally flooded_2tgsw_0",2262585,10532,2606042,699736,5,"KS"
20423130,1427107,10532,"ks001_verdigris_0_5_osage silty clay, 0 to 1 percent slopes, occasionally flooded_2tgsw_0",2262583,10532,2606042,699736,5,"KS"
20423131,1427107,10532,"ks001_osage_1_86_osage silty clay, 0 to 1 percent slopes, occasionally flooded_2tgsw_0",2262582,10532,2606042,699736,86,"KS"
20423038,1427119,10532,"ks001_dennis_1_82_dennis silt loam, 1 to 3 percent slopes_2tgsq_0",2262562,10532,2606037,699730,82,"KS"
20423039,1427119,10532,"ks001_eram_0_5_dennis silt loam, 1 to 3 percent slopes_2tgsq_0",2262565,10532,2606037,699730,5,"KS"
20423040,1427119,10532,"ks001_bates_0_5_dennis silt loam, 1 to 3 percent slopes_2tgsq_0",2262563,10532,2606037,699730,5,"KS"
20423041,1427119,10532,"ks001_kenoma_0_2_dennis silt loam, 1 to 3 percent slopes_2tgsq_0",2262567,10532,2606037,699730,2,"KS"
20423042,1427119,10532,"ks001_pharoah_0_1_dennis silt loam, 1 to 3 percent slopes_2tgsq_0",2262566,10532,2606037,699730,1,"KS"
