"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20303826,276557,12287,"ma001_udipsamments_1_100_udipsamments, smoothed_98s6_0",292008,12287,276557,156604,100,"MA"
20303827,276558,12287,"ma001_urban land_1_85_urban land_98s7_0",292009,12287,276558,156605,85,"MA"
20303828,276558,12287,"ma001_udipsamments_0_15_urban land_98s7_0",1547161,12287,276558,156605,15,"MA"
20303829,276559,12287,"ma001_water_1_100_water_98s8_0",292011,12287,276559,156606,100,"MA"
20303830,276560,12287,"ma001_scitico_0_6_walpole sandy loam, loamy substratum, 0 to 3 percent slopes_98s9_0",1547313,12287,276560,156607,6,"MA"
20303831,276560,12287,"ma001_maybid_0_8_walpole sandy loam, loamy substratum, 0 to 3 percent slopes_98s9_0",1547386,12287,276560,156607,8,"MA"
20303832,276560,12287,"ma001_pipestone_0_8_walpole sandy loam, loamy substratum, 0 to 3 percent slopes_98s9_0",1547363,12287,276560,156607,8,"MA"
20303833,276560,12287,"ma001_amostown_0_8_walpole sandy loam, loamy substratum, 0 to 3 percent slopes_98s9_0",1547308,12287,276560,156607,8,"MA"
20303834,276560,12287,"ma001_walpole variant_1_70_walpole sandy loam, loamy substratum, 0 to 3 percent slopes_98s9_loamy substratum",292012,12287,276560,156607,70,"MA"
20303852,276517,12287,"ma001_rainberry_0_10_freetown and swansea mucks, coastal lowland, 0 to 1 percent slopes_2tyqd_coastal lowland",2297333,12287,2620380,714874,10,"MA"
20303853,276517,12287,"ma001_swansea_1_40_freetown and swansea mucks, coastal lowland, 0 to 1 percent slopes_2tyqd_coastal lowland",2297331,12287,2620380,714874,40,"MA"
20303854,276517,12287,"ma001_freetown_1_50_freetown and swansea mucks, coastal lowland, 0 to 1 percent slopes_2tyqd_coastal lowland",2297332,12287,2620380,714874,50,"MA"
20303855,276529,12287,"ma001_hooksan_0_5_ipswich - pawcatuck - matunuck complex, 0 to 2 percent slopes, very frequently flooded_2tyqm_0",2297413,12287,2620387,714881,5,"MA"
20303856,276529,12287,"ma001_matunuck_1_15_ipswich - pawcatuck - matunuck complex, 0 to 2 percent slopes, very frequently flooded_2tyqm_0",2297402,12287,2620387,714881,15,"MA"
20303857,276529,12287,"ma001_succotash_0_5_ipswich - pawcatuck - matunuck complex, 0 to 2 percent slopes, very frequently flooded_2tyqm_0",2297426,12287,2620387,714881,5,"MA"
20303858,276529,12287,"ma001_ipswich_1_50_ipswich - pawcatuck - matunuck complex, 0 to 2 percent slopes, very frequently flooded_2tyqm_0",2297406,12287,2620387,714881,50,"MA"
20303859,276529,12287,"ma001_pawcatuck_1_25_ipswich - pawcatuck - matunuck complex, 0 to 2 percent slopes, very frequently flooded_2tyqm_0",2297398,12287,2620387,714881,25,"MA"
20303860,276532,12287,"ma001_windsor_0_2_merrimac fine sandy loam, 0 to 3 percent slopes_2tyqr_0",2297439,12287,2620391,714885,2,"MA"
20303861,276532,12287,"ma001_agawam_0_3_merrimac fine sandy loam, 0 to 3 percent slopes_2tyqr_0",2297429,12287,2620391,714885,3,"MA"
20303862,276532,12287,"ma001_sudbury_0_5_merrimac fine sandy loam, 0 to 3 percent slopes_2tyqr_0",2297432,12287,2620391,714885,5,"MA"
20303863,276532,12287,"ma001_hinckley_0_5_merrimac fine sandy loam, 0 to 3 percent slopes_2tyqr_0",2297438,12287,2620391,714885,5,"MA"
20303864,276532,12287,"ma001_merrimac_1_85_merrimac fine sandy loam, 0 to 3 percent slopes_2tyqr_0",2297384,12287,2620391,714885,85,"MA"
20303865,276533,12287,"ma001_agawam_0_2_merrimac fine sandy loam, 3 to 8 percent slopes_2tyqs_0",2297456,12287,2620392,714887,2,"MA"
20303866,276533,12287,"ma001_windsor_0_3_merrimac fine sandy loam, 3 to 8 percent slopes_2tyqs_0",2297442,12287,2620392,714887,3,"MA"
20303867,276533,12287,"ma001_merrimac_1_85_merrimac fine sandy loam, 3 to 8 percent slopes_2tyqs_0",2297448,12287,2620392,714887,85,"MA"
20303868,276533,12287,"ma001_sudbury_0_5_merrimac fine sandy loam, 3 to 8 percent slopes_2tyqs_0",2297454,12287,2620392,714887,5,"MA"
20303869,276533,12287,"ma001_hinckley_0_5_merrimac fine sandy loam, 3 to 8 percent slopes_2tyqs_0",2297452,12287,2620392,714887,5,"MA"
20303870,276534,12287,"ma001_hinckley_0_5_merrimac fine sandy loam, 8 to 15 percent slopes_2tyqt_0",2297453,12287,2620393,714888,5,"MA"
20303871,276534,12287,"ma001_sudbury_0_5_merrimac fine sandy loam, 8 to 15 percent slopes_2tyqt_0",2297455,12287,2620393,714888,5,"MA"
20303872,276534,12287,"ma001_merrimac_1_85_merrimac fine sandy loam, 8 to 15 percent slopes_2tyqt_0",2297449,12287,2620393,714888,85,"MA"
20303873,276534,12287,"ma001_windsor_0_5_merrimac fine sandy loam, 8 to 15 percent slopes_2tyqt_0",2297447,12287,2620393,714888,5,"MA"
20303874,276535,12287,"ma001_agawam_0_5_merrimac fine sandy loam, 15 to 25 percent slopes_2tyrg_0",2297508,12287,2620413,714908,5,"MA"
20303875,276535,12287,"ma001_windsor_0_5_merrimac fine sandy loam, 15 to 25 percent slopes_2tyrg_0",2380580,12287,2620413,714908,5,"MA"
20303876,276535,12287,"ma001_merrimac_1_80_merrimac fine sandy loam, 15 to 25 percent slopes_2tyrg_0",2297506,12287,2620413,714908,80,"MA"
20303877,276535,12287,"ma001_hinckley_0_10_merrimac fine sandy loam, 15 to 25 percent slopes_2tyrg_0",2297509,12287,2620413,714908,10,"MA"
20303837,3104110,12287,"ma001_rainberry_0_4_tihonet coarse sand, 0 to 3 percent slopes_bd26_sanded surface",1880752,12287,309510,443369,4,"MA"
20303838,3104110,12287,"ma001_freetown_0_3_tihonet coarse sand, 0 to 3 percent slopes_bd26_sanded surface",1893653,12287,309510,443369,3,"MA"
20303839,3104110,12287,"ma001_udipsamments_0_2_tihonet coarse sand, 0 to 3 percent slopes_bd26_wet substratum",1873347,12287,309510,443369,2,"MA"
20303840,3104110,12287,"ma001_tihonet_1_87_tihonet coarse sand, 0 to 3 percent slopes_bd26_0",1141732,12287,309510,443369,87,"MA"
20303841,3104110,12287,"ma001_water_0_1_tihonet coarse sand, 0 to 3 percent slopes_bd26_0",1867684,12287,309510,443369,1,"MA"
20303842,3104110,12287,"ma001_swansea_0_3_tihonet coarse sand, 0 to 3 percent slopes_bd26_sanded surface",1893649,12287,309510,443369,3,"MA"
20303843,276516,12287,"ma001_scarboro_0_5_freetown muck, ponded, coastal lowland, 0 to 1 percent slopes_2t2qg_0",2237960,12287,2594435,688729,5,"MA"
20303844,276516,12287,"ma001_whitman_0_5_freetown muck, ponded, coastal lowland, 0 to 1 percent slopes_2t2qg_ponded",2237958,12287,2594435,688729,5,"MA"
20303845,276516,12287,"ma001_swansea_0_5_freetown muck, ponded, coastal lowland, 0 to 1 percent slopes_2t2qg_ponded",2297375,12287,2594435,688729,5,"MA"
20303846,276516,12287,"ma001_freetown_1_85_freetown muck, ponded, coastal lowland, 0 to 1 percent slopes_2t2qg_ponded",2237951,12287,2594435,688729,85,"MA"
20303847,276518,12287,"ma001_tihonet_0_3_freetown coarse sand, 0 to 3 percent slopes, sanded surface_2t2qj_0",2237974,12287,2594437,688730,3,"MA"
20303848,276518,12287,"ma001_swansea_0_5_freetown coarse sand, 0 to 3 percent slopes, sanded surface_2t2qj_sanded surface, inactive",2297376,12287,2594437,688730,5,"MA"
20303849,276518,12287,"ma001_freetown_1_85_freetown coarse sand, 0 to 3 percent slopes, sanded surface_2t2qj_sanded surface",2237972,12287,2594437,688730,85,"MA"
20303850,276518,12287,"ma001_udipsamments_0_3_freetown coarse sand, 0 to 3 percent slopes, sanded surface_2t2qj_wet substratum",2237975,12287,2594437,688730,3,"MA"
20303851,276518,12287,"ma001_rainberry_0_4_freetown coarse sand, 0 to 3 percent slopes, sanded surface_2t2qj_sanded surface",2237976,12287,2594437,688730,4,"MA"
20303899,276509,12287,"ma001_pawcatuck_0_2_dune land_2x1kf_0",2487068,12287,2682691,784541,2,"MA"
20303900,276509,12287,"ma001_succotash_0_1_dune land_2x1kf_0",2487065,12287,2682691,784541,1,"MA"
20303901,276509,12287,"ma001_hooksan_0_6_dune land_2x1kf_0",2487066,12287,2682691,784541,6,"MA"
20303902,276509,12287,"ma001_dune land_1_90_dune land_2x1kf_0",2487067,12287,2682691,784541,90,"MA"
20303903,276509,12287,"ma001_beaches_0_1_dune land_2x1kf_0",2487064,12287,2682691,784541,1,"MA"
20303914,276527,12287,"ma001_hooksan_1_80_hooksan sand, 15 to 35 percent slopes_2x1kq_0",2532512,12287,2682700,798487,80,"MA"
20303915,276527,12287,"ma001_beaches_0_5_hooksan sand, 15 to 35 percent slopes_2x1kq_0",2532510,12287,2682700,798487,5,"MA"
20303916,276527,12287,"ma001_dune land_0_5_hooksan sand, 15 to 35 percent slopes_2x1kq_0",2532513,12287,2682700,798487,5,"MA"
20303917,276527,12287,"ma001_succotash_0_8_hooksan sand, 15 to 35 percent slopes_2x1kq_0",2532511,12287,2682700,798487,8,"MA"
20303918,276527,12287,"ma001_sandyhook_0_2_hooksan sand, 15 to 35 percent slopes_2x1kq_0",2532514,12287,2682700,798487,2,"MA"
20303919,276526,12287,"ma001_beaches_0_5_hooksan sand, 3 to 15 percent slopes_2x1kr_3 to 15 percent slopes",2532515,12287,2682701,798488,5,"MA"
20303920,276526,12287,"ma001_dune land_0_2_hooksan sand, 3 to 15 percent slopes_2x1kr_3 to 15 percent slopes",2532518,12287,2682701,798488,2,"MA"
20303921,276526,12287,"ma001_succotash_0_8_hooksan sand, 3 to 15 percent slopes_2x1kr_3 to 15 percent slopes",2532516,12287,2682701,798488,8,"MA"
20303922,276526,12287,"ma001_sandyhook_0_5_hooksan sand, 3 to 15 percent slopes_2x1kr_3 to 15 percent slopes",2532519,12287,2682701,798488,5,"MA"
20303923,276526,12287,"ma001_hooksan_1_80_hooksan sand, 3 to 15 percent slopes_2x1kr_3 to 15 percent slopes",2532517,12287,2682701,798488,80,"MA"
20303904,276528,12287,"ma001_dune land_1_40_hooksan-dune land complex, 15 to 35 percent slopes_2x1kw_0",2532452,12287,2682705,798477,40,"MA"
20303905,276528,12287,"ma001_succotash_0_7_hooksan-dune land complex, 15 to 35 percent slopes_2x1kw_0",2532455,12287,2682705,798477,7,"MA"
20303906,276528,12287,"ma001_beaches_0_5_hooksan-dune land complex, 15 to 35 percent slopes_2x1kw_0",2532527,12287,2682705,798477,5,"MA"
20303907,276528,12287,"ma001_matunuck_0_3_hooksan-dune land complex, 15 to 35 percent slopes_2x1kw_0",2532528,12287,2682705,798477,3,"MA"
20303908,276528,12287,"ma001_hooksan_1_45_hooksan-dune land complex, 15 to 35 percent slopes_2x1kw_0",2532451,12287,2682705,798477,45,"MA"
20303909,3104109,12287,"ma001_dune land_0_2_succotash sand, 0 to 3 percent slopes_2x1l4_0 to 3 percent slopes",2532489,12287,2682713,798483,2,"MA"
20303910,3104109,12287,"ma001_beaches_0_1_succotash sand, 0 to 3 percent slopes_2x1l4_0 to 3 percent slopes",2532486,12287,2682713,798483,1,"MA"
20303911,3104109,12287,"ma001_succotash_1_80_succotash sand, 0 to 3 percent slopes_2x1l4_0 to 3 percent slopes",2532487,12287,2682713,798483,80,"MA"
20303912,3104109,12287,"ma001_sandyhook_0_7_succotash sand, 0 to 3 percent slopes_2x1l4_0 to 3 percent slopes",2532490,12287,2682713,798483,7,"MA"
20303913,3104109,12287,"ma001_hooksan_0_10_succotash sand, 0 to 3 percent slopes_2x1l4_0 to 3 percent slopes",2532488,12287,2682713,798483,10,"MA"
20303891,276519,12287,"ma001_merrimac_0_5_hinckley loamy sand, 0 to 3 percent slopes_2svm7_0",2414848,12287,2587608,762377,5,"MA"
20303892,276519,12287,"ma001_windsor_0_5_hinckley loamy sand, 0 to 3 percent slopes_2svm7_0",2414845,12287,2587608,762377,5,"MA"
20303893,276519,12287,"ma001_sudbury_0_5_hinckley loamy sand, 0 to 3 percent slopes_2svm7_0",2414846,12287,2587608,762377,5,"MA"
20303894,276519,12287,"ma001_hinckley_1_85_hinckley loamy sand, 0 to 3 percent slopes_2svm7_0",2414844,12287,2587608,762377,85,"MA"
20303883,276520,12287,"ma001_sudbury_0_5_hinckley loamy sand, 3 to 8 percent slopes_2svm8_0",2414828,12287,2587609,758873,5,"MA"
20303884,276520,12287,"ma001_agawam_0_2_hinckley loamy sand, 3 to 8 percent slopes_2svm8_0",2414829,12287,2587609,758873,2,"MA"
20303885,276520,12287,"ma001_hinckley_1_85_hinckley loamy sand, 3 to 8 percent slopes_2svm8_0",2407427,12287,2587609,758873,85,"MA"
