"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20353015,137550,10950,"md003_beltsville_0_15_chillum loam, 2 to 5 percent slopes_4m43_0",1592546,10950,137550,104399,15,"MD"
20353016,137550,10950,"md003_russett_0_10_chillum loam, 2 to 5 percent slopes_4m43_0",1592547,10950,137550,104399,10,"MD"
20353017,137550,10950,"md003_chillum_1_75_chillum loam, 2 to 5 percent slopes_4m43_0",194869,10950,137550,104399,75,"MD"
20353285,137555,10950,"md003_christiana_0_5_sassafras and croom soils, 15 to 25 percent slopes_4m48_0",1599530,10950,137555,104518,5,"MD"
20353286,137555,10950,"md003_zekiah_0_5_sassafras and croom soils, 15 to 25 percent slopes_4m48_0",1599527,10950,137555,104518,5,"MD"
20353287,137555,10950,"md003_sassafras_1_40_sassafras and croom soils, 15 to 25 percent slopes_4m48_0",1386384,10950,137555,104518,40,"MD"
20353288,137555,10950,"md003_croom_1_35_sassafras and croom soils, 15 to 25 percent slopes_4m48_0",195081,10950,137555,104518,35,"MD"
20353289,137555,10950,"md003_hammonton_0_5_sassafras and croom soils, 15 to 25 percent slopes_4m48_0",1859589,10950,137555,104518,5,"MD"
20353284,137555,10950,"md003_russett_0_10_sassafras and croom soils, 15 to 25 percent slopes_4m48_0",1859590,10950,137555,104518,10,"MD"
20353312,137563,10950,"md003_collington_0_10_udorthents, loamy, sulfidic substratum, 0 to 5 percent slopes_4m4j_0",1599639,10950,137563,397096,10,"MD"
20353313,137563,10950,"md003_annapolis_0_5_udorthents, loamy, sulfidic substratum, 0 to 5 percent slopes_4m4j_0",1599640,10950,137563,397096,5,"MD"
20353314,137563,10950,"md003_adelphia_0_5_udorthents, loamy, sulfidic substratum, 0 to 5 percent slopes_4m4j_0",1599641,10950,137563,397096,5,"MD"
20353315,137563,10950,"md003_wist_0_5_udorthents, loamy, sulfidic substratum, 0 to 5 percent slopes_4m4j_0",1599638,10950,137563,397096,5,"MD"
20353316,137563,10950,"md003_udorthents_1_75_udorthents, loamy, sulfidic substratum, 0 to 5 percent slopes_4m4j_0",1176708,10950,137563,397096,75,"MD"
20353067,137828,10950,"md003_deale_0_5_shadyoak-elkton-urban land complex, 0 to 2 percent slopes_4mf2_0",1599567,10950,137828,104415,5,"MD"
20353068,137828,10950,"md003_urban land_1_25_shadyoak-elkton-urban land complex, 0 to 2 percent slopes_4mf2_0",194903,10950,137828,104415,25,"MD"
20353069,137828,10950,"md003_kentuck_0_5_shadyoak-elkton-urban land complex, 0 to 2 percent slopes_4mf2_0",1599566,10950,137828,104415,5,"MD"
20353070,137828,10950,"md003_elkton_1_30_shadyoak-elkton-urban land complex, 0 to 2 percent slopes_4mf2_0",194902,10950,137828,104415,30,"MD"
20353071,137828,10950,"md003_shadyoak_1_35_shadyoak-elkton-urban land complex, 0 to 2 percent slopes_4mf2_0",1063642,10950,137828,104415,35,"MD"
20352887,137829,10950,"md003_keansburg_0_5_shrewsbury loam, 0 to 2 percent slopes_4mf3_0",1599570,10950,137829,102347,5,"MD"
20352888,137829,10950,"md003_holmdel_0_15_shrewsbury loam, 0 to 2 percent slopes_4mf3_0",1599571,10950,137829,102347,15,"MD"
20352889,137829,10950,"md003_fallsington_0_5_shrewsbury loam, 0 to 2 percent slopes_4mf3_0",1599572,10950,137829,102347,5,"MD"
20352890,137829,10950,"md003_shrewsbury_1_75_shrewsbury loam, 0 to 2 percent slopes_4mf3_0",192079,10950,137829,102347,75,"MD"
20352818,137830,10950,"md003_cedartown_0_5_tinton loamy sand, 2 to 5 percent slopes_4mf4_0",1599576,10950,137830,102316,5,"MD"
20352819,137830,10950,"md003_collington_0_10_tinton loamy sand, 2 to 5 percent slopes_4mf4_0",1599577,10950,137830,102316,10,"MD"
20352820,137830,10950,"md003_adelphia_0_5_tinton loamy sand, 2 to 5 percent slopes_4mf4_0",1599581,10950,137830,102316,5,"MD"
20352821,137830,10950,"md003_tinton_1_80_tinton loamy sand, 2 to 5 percent slopes_4mf4_0",192029,10950,137830,102316,80,"MD"
20352822,137831,10950,"md003_tinton_1_75_tinton loamy sand, 5 to 10 percent slopes_4mf5_0",192030,10950,137831,102317,75,"MD"
20352823,137831,10950,"md003_adelphia_0_10_tinton loamy sand, 5 to 10 percent slopes_4mf5_0",1599585,10950,137831,102317,10,"MD"
20352824,137831,10950,"md003_collington_0_15_tinton loamy sand, 5 to 10 percent slopes_4mf5_0",1599584,10950,137831,102317,15,"MD"
20353022,137832,10950,"md003_cedartown_0_5_tinton-urban land complex, 0 to 5 percent slopes_4mf6_0",1599587,10950,137832,104405,5,"MD"
20353023,137832,10950,"md003_urban land_1_30_tinton-urban land complex, 0 to 5 percent slopes_4mf6_0",194882,10950,137832,104405,30,"MD"
20353024,137832,10950,"md003_collington_0_5_tinton-urban land complex, 0 to 5 percent slopes_4mf6_0",1599588,10950,137832,104405,5,"MD"
20353025,137832,10950,"md003_adelphia_0_5_tinton-urban land complex, 0 to 5 percent slopes_4mf6_0",1599589,10950,137832,104405,5,"MD"
20353026,137832,10950,"md003_tinton_1_55_tinton-urban land complex, 0 to 5 percent slopes_4mf6_0",194881,10950,137832,104405,55,"MD"
