"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
19796459,284490,12448,"me011_colonel_0_4_peru fine sandy loam, 3 to 8 percent slopes_2ty5y_0",2387548,12448,2619870,747214,4,"ME"
19796460,284490,12448,"me011_peru_1_84_peru fine sandy loam, 3 to 8 percent slopes_2ty5y_0",2387546,12448,2619870,747214,84,"ME"
19796461,284490,12448,"me011_marlow_0_6_peru fine sandy loam, 3 to 8 percent slopes_2ty5y_0",2387547,12448,2619870,747214,6,"ME"
19796462,284490,12448,"me011_lyman_0_2_peru fine sandy loam, 3 to 8 percent slopes_2ty5y_0",2387549,12448,2619870,747214,2,"ME"
19796463,284490,12448,"me011_cabot_0_4_peru fine sandy loam, 3 to 8 percent slopes_2ty5y_0",2387550,12448,2619870,747214,4,"ME"
19796254,284491,12448,"me011_colonel_0_1_peru fine sandy loam, 0 to 8 percent slopes, very stony_2ty63_very stony",2387577,12448,2619875,747221,1,"ME"
19796255,284491,12448,"me011_pillsbury_0_4_peru fine sandy loam, 0 to 8 percent slopes, very stony_2ty63_very stony",2387629,12448,2619875,747221,4,"ME"
19796256,284491,12448,"me011_peru_1_88_peru fine sandy loam, 0 to 8 percent slopes, very stony_2ty63_very stony",2387572,12448,2619875,747221,88,"ME"
19796257,284491,12448,"me011_marlow_0_5_peru fine sandy loam, 0 to 8 percent slopes, very stony_2ty63_very stony",2387573,12448,2619875,747221,5,"ME"
19796258,284491,12448,"me011_lyman_0_2_peru fine sandy loam, 0 to 8 percent slopes, very stony_2ty63_very stony",2387575,12448,2619875,747221,2,"ME"
19796582,284492,12448,"me011_cabot_0_4_peru fine sandy loam, 8 to 15 percent slopes, very stony_2ty65_very stony",2387587,12448,2619877,747224,4,"ME"
19796583,284492,12448,"me011_lyman_0_3_peru fine sandy loam, 8 to 15 percent slopes, very stony_2ty65_very stony",2387585,12448,2619877,747224,3,"ME"
19796584,284492,12448,"me011_marlow_0_6_peru fine sandy loam, 8 to 15 percent slopes, very stony_2ty65_very stony",2387584,12448,2619877,747224,6,"ME"
19796585,284492,12448,"me011_peru_1_84_peru fine sandy loam, 8 to 15 percent slopes, very stony_2ty65_very stony",2387583,12448,2619877,747224,84,"ME"
19796586,284492,12448,"me011_colonel_0_3_peru fine sandy loam, 8 to 15 percent slopes, very stony_2ty65_very stony",2387586,12448,2619877,747224,3,"ME"
19796549,284454,12448,"me011_lamoine_0_7_buxton silt loam, 8 to 15 percent slopes_2x1by_0",2478599,12448,2682490,784632,7,"ME"
19796550,284454,12448,"me011_buxton_0_3_buxton silt loam, 8 to 15 percent slopes_2x1by_>15% slopes",2478598,12448,2682490,784632,3,"ME"
19796551,284454,12448,"me011_scantic_0_5_buxton silt loam, 8 to 15 percent slopes_2x1by_0",2478600,12448,2682490,784632,5,"ME"
19796552,284454,12448,"me011_buxton_1_85_buxton silt loam, 8 to 15 percent slopes_2x1by_0",2478601,12448,2682490,784632,85,"ME"
19796553,823500,12448,"me011_lamoine_0_2_buxton silt loam, 15 to 25 percent slopes_2x1bz_0",2478605,12448,2682491,784633,2,"ME"
19796554,823500,12448,"me011_peru_0_5_buxton silt loam, 15 to 25 percent slopes_2x1bz_0",2478603,12448,2682491,784633,5,"ME"
19796555,823500,12448,"me011_buxton_1_85_buxton silt loam, 15 to 25 percent slopes_2x1bz_0",2478606,12448,2682491,784633,85,"ME"
19796556,823500,12448,"me011_buxton_0_3_buxton silt loam, 15 to 25 percent slopes_2x1bz_>25% slopes",2478607,12448,2682491,784633,3,"ME"
19796557,823500,12448,"me011_tunbridge_0_5_buxton silt loam, 15 to 25 percent slopes_2x1bz_0",2478604,12448,2682491,784633,5,"ME"
19796558,284465,12448,"me011_peru_0_4_lyman-tunbridge complex, 0 to 8 percent slopes, rocky_2x1cx_0",2531191,12448,2682520,784663,4,"ME"
19796559,284465,12448,"me011_rock outcrop_0_1_lyman-tunbridge complex, 0 to 8 percent slopes, rocky_2x1cx_0",2531192,12448,2682520,784663,1,"ME"
19796560,284465,12448,"me011_abram_0_5_lyman-tunbridge complex, 0 to 8 percent slopes, rocky_2x1cx_0",2531194,12448,2682520,784663,5,"ME"
19796561,284465,12448,"me011_ragmuff_0_10_lyman-tunbridge complex, 0 to 8 percent slopes, rocky_2x1cx_0",2531189,12448,2682520,784663,10,"ME"
19796562,284465,12448,"me011_tunbridge_1_30_lyman-tunbridge complex, 0 to 8 percent slopes, rocky_2x1cx_0",2531187,12448,2682520,784663,30,"ME"
19796563,284465,12448,"me011_lyman_1_50_lyman-tunbridge complex, 0 to 8 percent slopes, rocky_2x1cx_0",2531188,12448,2682520,784663,50,"ME"
19796564,284466,12448,"me011_ragmuff_0_5_lyman-tunbridge complex, 8 to 15 percent slopes, rocky_2x1cy_0",2531197,12448,2682521,784664,5,"ME"
19796565,284466,12448,"me011_rock outcrop_0_1_lyman-tunbridge complex, 8 to 15 percent slopes, rocky_2x1cy_0",2531199,12448,2682521,784664,1,"ME"
19796566,284466,12448,"me011_abram_0_5_lyman-tunbridge complex, 8 to 15 percent slopes, rocky_2x1cy_0",2531200,12448,2682521,784664,5,"ME"
19796567,284466,12448,"me011_lyman_1_45_lyman-tunbridge complex, 8 to 15 percent slopes, rocky_2x1cy_0",2531196,12448,2682521,784664,45,"ME"
19796568,284466,12448,"me011_tunbridge_1_40_lyman-tunbridge complex, 8 to 15 percent slopes, rocky_2x1cy_0",2531195,12448,2682521,784664,40,"ME"
19796569,284466,12448,"me011_peru_0_4_lyman-tunbridge complex, 8 to 15 percent slopes, rocky_2x1cy_0",2531198,12448,2682521,784664,4,"ME"
19796570,284467,12448,"me011_tunbridge_1_40_lyman-tunbridge complex, 15 to 35 percent slopes, rocky_2x1cz_0",2531201,12448,2682522,784665,40,"ME"
19796571,284467,12448,"me011_abram_0_5_lyman-tunbridge complex, 15 to 35 percent slopes, rocky_2x1cz_0",2531206,12448,2682522,784665,5,"ME"
19796572,284467,12448,"me011_peru_0_6_lyman-tunbridge complex, 15 to 35 percent slopes, rocky_2x1cz_0",2531204,12448,2682522,784665,6,"ME"
19796573,284467,12448,"me011_ragmuff_0_3_lyman-tunbridge complex, 15 to 35 percent slopes, rocky_2x1cz_0",2531203,12448,2682522,784665,3,"ME"
19796574,284467,12448,"me011_lyman_1_45_lyman-tunbridge complex, 15 to 35 percent slopes, rocky_2x1cz_0",2531202,12448,2682522,784665,45,"ME"
19796575,284467,12448,"me011_rock outcrop_0_1_lyman-tunbridge complex, 15 to 35 percent slopes, rocky_2x1cz_0",2531205,12448,2682522,784665,1,"ME"
19796650,284470,12448,"me011_rock outcrop_1_20_lyman-abram-rock outcrop complex, 15 to 35 percent slopes_2x1d3_0",2550540,12448,2682526,784669,20,"ME"
19796651,284470,12448,"me011_ragmuff_0_1_lyman-abram-rock outcrop complex, 15 to 35 percent slopes_2x1d3_0",2550539,12448,2682526,784669,1,"ME"
19796652,284470,12448,"me011_lyman_1_35_lyman-abram-rock outcrop complex, 15 to 35 percent slopes_2x1d3_0",2550538,12448,2682526,784669,35,"ME"
