cokey,mukey,lkey,key.join,coiid,liid,muiid,dmuiid,comppct,state
20160768,57066,10299,"nm023_verhalen_1_85_verhalen silty clay loam, alkali_2sps3_0",63441,10299,2582954,35481,85,NM
20160769,57066,10299,"nm023_glendale_0_7_verhalen silty clay loam, alkali_2sps3_0",1205454,10299,2582954,35481,7,NM
20160770,57066,10299,"nm023_mimbres_0_1_verhalen silty clay loam, alkali_2sps3_0",1299509,10299,2582954,35481,1,NM
20160771,57066,10299,"nm023_glendale silt loam_0_7_verhalen silty clay loam, alkali_2sps3_0",1205453,10299,2582954,35481,7,NM
20160646,57037,10299,"nm023_glendale_1_30_mimbres and glendale silty clay loams, strongly alkal_2sprs_0",63321,10299,2582944,35452,30,NM
20160647,57037,10299,"nm023_verhalen_0_8_mimbres and glendale silty clay loams, strongly alkal_2sprs_0",63324,10299,2582944,35452,8,NM
20160648,57037,10299,"nm023_glendale_0_1_mimbres and glendale silty clay loams, strongly alkal_2sprs_0",1299460,10299,2582944,35452,1,NM
20160649,57037,10299,"nm023_mimbres_0_1_mimbres and glendale silty clay loams, strongly alkal_2sprs_0",1299489,10299,2582944,35452,1,NM
20160650,57037,10299,"nm023_mimbres_1_60_mimbres and glendale silty clay loams, strongly alkal_2sprs_0",63320,10299,2582944,35452,60,NM
20160806,57016,10299,nm023_yturbide_0_5_gila loam_2vsrx_0,2346542,10299,2645413,733586,5,NM
20160807,57016,10299,nm023_gila_1_85_gila loam_2vsrx_0,2346540,10299,2645413,733586,85,NM
20160808,57016,10299,nm023_gila_0_5_gila loam_2vsrx_0,2346543,10299,2645413,733586,5,NM
20160809,57016,10299,nm023_glendale_0_5_gila loam_2vsrx_0,2346541,10299,2645413,733586,5,NM
20160810,57036,10299,"nm023_verhalen_0_4_mimbres and glendale silty clay loams, alkali_2vsrw_0",2363776,10299,2645412,742327,4,NM
20160811,57036,10299,"nm023_mimbres_1_60_mimbres and glendale silty clay loams, alkali_2vsrw_0",2363774,10299,2645412,742327,60,NM
20160812,57036,10299,"nm023_membres_0_3_mimbres and glendale silty clay loams, alkali_2vsrw_0",2363777,10299,2645412,742327,3,NM
20160813,57036,10299,"nm023_glendale_0_3_mimbres and glendale silty clay loams, alkali_2vsrw_0",2363778,10299,2645412,742327,3,NM
20160814,57036,10299,"nm023_glendale_1_30_mimbres and glendale silty clay loams, alkali_2vsrw_0",2363775,10299,2645412,742327,30,NM
20160641,57035,10299,nm023_mimbres_1_60_mimbres and glendale silty clay loams_2sprr_0,63310,10299,2582943,35450,60,NM
20160642,57035,10299,nm023_glendale_0_5_mimbres and glendale silty clay loams_2sprr_0,63313,10299,2582943,35450,5,NM
20160643,57035,10299,nm023_glendale_1_30_mimbres and glendale silty clay loams_2sprr_0,63311,10299,2582943,35450,30,NM
20160644,57035,10299,nm023_mimbres_0_1_mimbres and glendale silty clay loams_2sprr_0,1299487,10299,2582943,35450,1,NM
20160645,57035,10299,nm023_verhalen_0_4_mimbres and glendale silty clay loams_2sprr_0,63314,10299,2582943,35450,4,NM
20160636,57034,10299,nm023_verhalen_0_4_mimbres and glendale loams_2spt9_0,63309,10299,2582991,35449,4,NM
20160637,57034,10299,nm023_glendale_1_30_mimbres and glendale loams_2spt9_0,63306,10299,2582991,35449,30,NM
20160638,57034,10299,nm023_mimbres_0_1_mimbres and glendale loams_2spt9_0,1299486,10299,2582991,35449,1,NM
20160639,57034,10299,nm023_glendale silty clay loam_0_5_mimbres and glendale loams_2spt9_0,63308,10299,2582991,35449,5,NM
20160640,57034,10299,nm023_mimbres_1_60_mimbres and glendale loams_2spt9_0,63305,10299,2582991,35449,60,NM
20160764,57069,10299,nm023_verhalen_1_85_verhalen silty clay loam_2sps1_0,63438,10299,2582952,35480,85,NM
20160765,57069,10299,nm023_glendale_0_1_verhalen silty clay loam_2sps1_0,1299462,10299,2582952,35480,1,NM
20160766,57069,10299,nm023_unnamed soils_0_13_verhalen silty clay loam_2sps1_0,2728357,10299,2582952,35480,13,NM
20160767,57069,10299,nm023_mimbres_0_1_verhalen silty clay loam_2sps1_0,1299493,10299,2582952,35480,1,NM
20160572,57022,10299,nm023_hondale_0_5_hondale soils_2sprp_0,63249,10299,2582941,35437,5,NM
20160573,57022,10299,nm023_hondale_1_25_hondale soils_2sprp_0,63241,10299,2582941,35437,25,NM
20160574,57022,10299,nm023_verhalen_0_10_hondale soils_2sprp_0,63244,10299,2582941,35437,10,NM
20160575,57022,10299,nm023_hondale loam_0_4_hondale soils_2sprp_0,63247,10299,2582941,35437,4,NM
20160576,57022,10299,nm023_playa_0_1_hondale soils_2sprp_0,63248,10299,2582941,35437,1,NM
20160577,57022,10299,nm023_hondale_1_27_hondale soils_2sprp_0,63242,10299,2582941,35437,27,NM
20160578,57022,10299,nm023_glendale_0_1_hondale soils_2sprp_0,1299458,10299,2582941,35437,1,NM
20160579,57022,10299,nm023_mimbres_0_1_hondale soils_2sprp_0,1299484,10299,2582941,35437,1,NM
20160580,57022,10299,nm023_hondale_1_26_hondale soils_2sprp_0,63243,10299,2582941,35437,26,NM
20160581,57023,10299,nm023_glendale_0_1_hondale complex_2sprq_0,1299459,10299,2582942,35438,1,NM
20160582,57023,10299,nm023_playa_0_1_hondale complex_2sprq_0,1205456,10299,2582942,35438,1,NM
20160583,57023,10299,nm023_mimbres_0_1_hondale complex_2sprq_0,1299485,10299,2582942,35438,1,NM
20160584,57023,10299,nm023_hondale_0_1_hondale complex_2sprq_0,63258,10299,2582942,35438,1,NM
20160585,57023,10299,nm023_hondale_1_30_hondale complex_2sprq_0,63252,10299,2582942,35438,30,NM
20160586,57023,10299,nm023_verhalen_0_2_hondale complex_2sprq_0,63253,10299,2582942,35438,2,NM
20160587,57023,10299,nm023_hondale_1_32_hondale complex_2sprq_0,63250,10299,2582942,35438,32,NM
