"name","Type","Value","RefId","rule_refid","eval_refid","evalType","propname","propiid"
"WICCPI - OM 0-20cm","not_null_and","0","58969","54888","58969","ArbitraryCurve","ORGANIC MATTER IN DEPTH 0-20CM, WTD AVE","17047"
"WICCPI - OM 20-100cm","not_null_and","0","58970","54888","58970","ArbitraryCurve","ORGANIC MATTER PERCENT 20-100 CM WGT AVG","27537"
"WICCPI - CEC 0-20cm or Restriction","not_null_and","0","58971","54889","58971","ArbitraryCurve","CEC WEIGHTED AVG 0-20 CM ABOVE RESTRICTION","27539"
"WICCPI - CEC 20-100cm or Restriction","not_null_and","0","58972","54889","58972","ArbitraryCurve","CEC WEIGHTED AVG 20-100 CM ABOVE RESTRICTION","27540"
"WICCPI - pH 20-100cm","not_null_and","0","58973","54890","58973","ArbitraryCurve","pH IN DEPTH 20-100CM, WTD AVG","27541"
"WICCPI - Depth to Restrictive Layer (Subrule)","not_null_and","0","58979","54893","58979","ArbitraryCurve","DEPTH TO FIRST RESTRICTION BELOW ORGANIC LAYER, 200  DEFAULT","27563"
"WICCPI - First Depth to KSAT >42 or <1.39","null_or","0","58974","54891","58974","ArbitraryCurve","LAYER THICKNESS, KSAT >42 or <1.39","27542"
"WICCPI - AWC 0-20cm","not_null_and","0","58978","54892","58978","ArbitraryCurve","AWC 0-20 cm","27546"
"WICCPI - AWC 20-60cm","not_null_and","0","58975","54892","58975","ArbitraryCurve","AWC, 20-60 cm","27543"
"WICCPI - AWC 60-100cm","not_null_and","0","58976","54892","58976","ArbitraryCurve","AWC, 60-100 cm","27544"
"WICCPI - AWC 100-150cm","not_null_and","0","58977","54892","58977","ArbitraryCurve","AWC, 100-150 cm","27545"
"WICCPI - INTERPRETABLE COMPONENT - WATER","and",NA,"58989","54892","58989","Crisp","WICCPI - INTERPRETABLE COMPONENT - WATER","47023"
"WICCPI - INTERPRETABLE COMPONENT - SLOPE","and",NA,"58988","54892","58988","Crisp","WICCPI - INTERPRETABLE COMPONENT - SLOPE","47022"
"WICCPI - Wetness May","null_or","0","58980","54895","58980","ArbitraryCurve","WATER TABLE DEPTH MIN DURING MAY","27547"
"WICCPI - Wetness Apr","null_or","0.01","58986","54895","58986","ArbitraryCurve","WATER TABLE DEPTH MIN DURING APR","30309"
"WICCPI - Effective Slope","not_null_and","0","58982","54896","58982","ArbitraryCurve","SLOPE PERCENT AND BEDROCK NOT <50","27557"
"WICCPI - MONTHS W/ FLOODING (FREQ),  APRIL-MAY","null_or","0","58983","54897","58983","ArbitraryLinear","MONTHS W/ FLOODING (FREQ),  APRIL-MAY, RATING","27550"
"WICCPI - MONTHS W/ FLOODING (DUR),  APRIL-MAY","null_or","0","58984","54898","58984","ArbitraryLinear","MONTHS W/ FLOODING (DUR),  APRIL-MAY, RATING","27552"
"WICCPI - Water Balance by MLRA","null_or","0","58985","54899","58985","ArbitraryLinear","MLRA Ranking","47017"
"WICCPI - Interpretable Component","null_not_rated","0","58981","54894","58981","Crisp","INTERPRETABLE COMPONENT","15327"
