"","mukey","coiid","comp_name","NA","texinlieu","texmod","permdepth","pondfreq","ponddur","slope_r","totalsub_r","floodfreq","wt","lep","bottomtexture","depbrockhard","depbrocksoft","fragvol_wmn","restricthardness","depcementthick","depcementthin","unstablefill","gypsum","impaction","drainageclass","cokey","lkey","key.join","liid","muiid","dmuiid","comppct","state","pftex","ponding","flooding","organicsoil","noncemented"
"1","1014827","1200769","Pits, gravel",NA,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,FALSE,TRUE,"19699588","10340","ut633_pits, gravel_1_100_pits, gravel_1320c_0","10340","1014827","456523",100,"UT",FALSE,FALSE,FALSE,FALSE,NA
"2","1384032","1253888","Bezzant",NA,NA,"gr
cb
cbv
grv",NA,"none",NA,15,0,"none",NA,NA,"cl",NA,NA,15,NA,NA,NA,FALSE,0,FALSE,TRUE,"19640852","14419","ut013_bezzant_1_90_bezzant cobbly loam, 4 to 25 percent slopes, extremely stony_1hg66_extremely stony","14419","1384032","462783",90,"UT",FALSE,FALSE,FALSE,FALSE,NA
"3","1385340","1258788","Bearhole",NA,NA,"cn",NA,"none",NA,18,0,"none",NA,NA,"cl",76,NA,5,NA,NA,NA,FALSE,0,FALSE,TRUE,"19640950","14419","ut013_bearhole_1_40_bearhole-poisonridge, extremely stony-jakes complex, 4 to 40 percent slopes_1hhkd_0","14419","1385340","463663",40,"UT",FALSE,FALSE,FALSE,FALSE,NA
"4","1385341","1258206","Bearhole",NA,NA,"cnv
cnx
cn",NA,"none",NA,6,0,"none",NA,NA,"gc",94,NA,6,NA,NA,NA,FALSE,0,FALSE,TRUE,"19641052","14419","ut013_bearhole_1_40_bearhole-poisonridge, extremely stony-avaya complex, 2 to 25 percent slopes_1hhkf_0","14419","1385341","463664",40,"UT",FALSE,FALSE,FALSE,FALSE,NA
"5","1386143","1266937","Doeknoll",NA,NA,"gr",NA,"none",NA,4,0,"none",NA,NA,"sc",58,NA,0,NA,NA,NA,FALSE,0,FALSE,TRUE,"19641261","14419","ut013_doeknoll_1_45_doeknoll-calfhollow-avaya complex, 2 to 25 percent slopes_1hjd9_0","14419","1386143","464421",45,"UT",FALSE,FALSE,FALSE,FALSE,NA
"6","1386243","1265738","Horrocks",NA,NA,"cb
grv
cbv
gr",NA,"none",NA,25,0,"none",NA,NA,"gc",117,NA,21,NA,NA,NA,FALSE,0,FALSE,TRUE,"19641396","14419","ut013_horrocks_1_40_horrocks-fifthwater, extremely stony-tabbyune complex, 5 to 35 percent slopes_1hjhj_0","14419","1386243","464139",40,"UT",FALSE,FALSE,FALSE,FALSE,NA
"7","1387205","1268482","Calfhollow",NA,NA,"gr
grv",NA,"none",NA,35,0,"none",NA,NA,"gc",41,NA,1,NA,NA,NA,FALSE,0,FALSE,TRUE,"19641262","14419","ut013_calfhollow_1_40_calfhollow, extremely stony-gremp-rock outcrop complex, 15 to 50 percent slopes_1hkhk_extremely stony","14419","1387205","464422",40,"UT",FALSE,FALSE,FALSE,FALSE,NA
"8","1389575","1269912","Hubin",NA,NA,"cbx
cbv
grv",NA,"none",NA,9,0,"none",NA,NA,"gc-gm",NA,NA,40,NA,NA,NA,FALSE,0,FALSE,TRUE,"19641200","14419","ut013_hubin_1_60_hubin, very stony-snyderville complex, 0 to 15 percent slopes_1hmz0_very stony","14419","1389575","464896",60,"UT",FALSE,FALSE,FALSE,FALSE,NA
"9","1389711","681905","Jericho",NA,NA,"grv
cem
grx",NA,"none",NA,5,NA,"none",NA,NA,"gp-gm",NA,NA,4,"Indurated",NA,38,FALSE,0,FALSE,TRUE,"19664727","14300","ut611_jericho_1_50_jericho-xeric torriorthents association_1hn3d_0","14300","1389711","308860",50,"UT",FALSE,FALSE,FALSE,FALSE,FALSE
"10","1389712","681956","Armespan",NA,NA,"grv
gr",NA,"none",NA,6,NA,"none",NA,NA,"gp-gm",NA,NA,5,NA,NA,NA,FALSE,0,FALSE,TRUE,"19664731","14300","ut611_armespan_1_45_armespan-jericho-chainlink association_1hn3f_0","14300","1389712","308878",45,"UT",FALSE,FALSE,FALSE,FALSE,NA
"11","1389713","682089","Graley",NA,NA,"grv",NA,"none",NA,33,NA,"none",NA,NA,"gc",46,NA,10,NA,NA,NA,FALSE,0,FALSE,TRUE,"19664740","14300","ut611_graley_1_40_graley-chen-mcivey association_1hn3g_0","14300","1389713","308926",40,"UT",FALSE,FALSE,FALSE,FALSE,NA
