"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20297548,464001,14138,"ca680_water_1_100_water_hkts_0",650196,14138,464001,296655,100,"CA68"
20297476,464002,14138,"ca680_riverwash_0_5_badland_hktt_0",639975,14138,464002,293315,5,"CA68"
20297477,464002,14138,"ca680_badland_1_85_badland_hktt_0",639973,14138,464002,293315,85,"CA68"
20297478,464002,14138,"ca680_carsitas_0_10_badland_hktt_0",639974,14138,464002,293315,10,"CA68"
20297578,464003,14138,"ca680_borrow pits_1_95_borrow pits_hktv_0",639976,14138,464003,293316,95,"CA68"
20297579,464003,14138,"ca680_unnamed_0_5_borrow pits_hktv_0",639977,14138,464003,293316,5,"CA68"
20297669,464004,14138,"ca680_bull trail_1_85_bull trail stony sandy loam, 9 to 30 percent slopes_hktw_0",639978,14138,464004,293317,85,"CA68"
20297670,464004,14138,"ca680_cajon_0_3_bull trail stony sandy loam, 9 to 30 percent slopes_hktw_0",639980,14138,464004,293317,3,"CA68"
20297671,464004,14138,"ca680_unnamed_0_1_bull trail stony sandy loam, 9 to 30 percent slopes_hktw_warmer",639982,14138,464004,293317,1,"CA68"
20297672,464004,14138,"ca680_omstott_0_10_bull trail stony sandy loam, 9 to 30 percent slopes_hktw_0",639979,14138,464004,293317,10,"CA68"
20297673,464004,14138,"ca680_unnamed_0_1_bull trail stony sandy loam, 9 to 30 percent slopes_hktw_stoneless",639981,14138,464004,293317,1,"CA68"
20297674,464005,14138,"ca680_cajon_1_85_cajon loamy sand, 5 to 15 percent slopes_hktx_0",639983,14138,464005,293318,85,"CA68"
20297675,464005,14138,"ca680_unnamed_0_10_cajon loamy sand, 5 to 15 percent slopes_hktx_under granite",639984,14138,464005,293318,10,"CA68"
20297676,464005,14138,"ca680_riverwash_0_5_cajon loamy sand, 5 to 15 percent slopes_hktx_0",639985,14138,464005,293318,5,"CA68"
20297677,464006,14138,"ca680_riverwash_0_2_cajon variant, 2 to 15 percent slopes_hkty_0",639986,14138,464006,293319,2,"CA68"
20297678,464006,14138,"ca680_rock outcrop_0_1_cajon variant, 2 to 15 percent slopes_hkty_0",639989,14138,464006,293319,1,"CA68"
20297679,464006,14138,"ca680_unnamed_0_1_cajon variant, 2 to 15 percent slopes_hkty_sandy loam surface",639991,14138,464006,293319,1,"CA68"
20297680,464006,14138,"ca680_cajon variant_1_85_cajon variant, 2 to 15 percent slopes_hkty_0",639987,14138,464006,293319,85,"CA68"
20297681,464006,14138,"ca680_omstott_0_10_cajon variant, 2 to 15 percent slopes_hkty_0",639988,14138,464006,293319,10,"CA68"
20297682,464006,14138,"ca680_unnamed_0_1_cajon variant, 2 to 15 percent slopes_hkty_stony",639990,14138,464006,293319,1,"CA68"
20297683,464007,14138,"ca680_carrizo_1_85_carrizo stony sand, 2 to 9 percent slopes_hktz_0",639992,14138,464007,293320,85,"CA68"
20297684,464007,14138,"ca680_carsitas_0_10_carrizo stony sand, 2 to 9 percent slopes_hktz_0",639993,14138,464007,293320,10,"CA68"
20297685,464007,14138,"ca680_chuckawalla_0_2_carrizo stony sand, 2 to 9 percent slopes_hktz_0",639994,14138,464007,293320,2,"CA68"
20297686,464007,14138,"ca680_myoma_0_2_carrizo stony sand, 2 to 9 percent slopes_hktz_0",639995,14138,464007,293320,2,"CA68"
20297687,464007,14138,"ca680_unnamed_0_1_carrizo stony sand, 2 to 9 percent slopes_hktz_cobbly or gravelly",639996,14138,464007,293320,1,"CA68"
20297580,464008,14138,"ca680_carsitas_1_85_carsitas gravelly sand, 0 to 9 percent slopes_hkv0_0",639998,14138,464008,293321,85,"CA68"
20297581,464008,14138,"ca680_riverwash_0_4_carsitas gravelly sand, 0 to 9 percent slopes_hkv0_0",639997,14138,464008,293321,4,"CA68"
20297582,464008,14138,"ca680_carsitas_0_4_carsitas gravelly sand, 0 to 9 percent slopes_hkv0_0",639999,14138,464008,293321,4,"CA68"
20297583,464008,14138,"ca680_myoma_0_4_carsitas gravelly sand, 0 to 9 percent slopes_hkv0_0",640000,14138,464008,293321,4,"CA68"
20297584,464008,14138,"ca680_unnamed_0_3_carsitas gravelly sand, 0 to 9 percent slopes_hkv0_stony or gravelly",640001,14138,464008,293321,3,"CA68"
20297479,464009,14138,"ca680_badland_0_10_carsitas gravelly sand, 9 to 30 percent slopes_hkv1_0",640004,14138,464009,293322,10,"CA68"
20297480,464009,14138,"ca680_myoma_0_1_carsitas gravelly sand, 9 to 30 percent slopes_hkv1_0",640006,14138,464009,293322,1,"CA68"
20297481,464009,14138,"ca680_carrizo_0_2_carsitas gravelly sand, 9 to 30 percent slopes_hkv1_0",640005,14138,464009,293322,2,"CA68"
20297482,464009,14138,"ca680_unnamed_0_1_carsitas gravelly sand, 9 to 30 percent slopes_hkv1_cobbles or stones",640007,14138,464009,293322,1,"CA68"
20297483,464009,14138,"ca680_riverwash_0_1_carsitas gravelly sand, 9 to 30 percent slopes_hkv1_0",640002,14138,464009,293322,1,"CA68"
20297484,464009,14138,"ca680_carsitas_1_85_carsitas gravelly sand, 9 to 30 percent slopes_hkv1_0",640003,14138,464009,293322,85,"CA68"
20297585,464010,14138,"ca680_carsitas_1_85_carsitas sand, wet, 0 to 5 percent slopes_hkv2_0",640008,14138,464010,293323,85,"CA68"
20297586,464010,14138,"ca680_myoma_0_10_carsitas sand, wet, 0 to 5 percent slopes_hkv2_0",640009,14138,464010,293323,10,"CA68"
20297587,464010,14138,"ca680_niland_0_4_carsitas sand, wet, 0 to 5 percent slopes_hkv2_0",640010,14138,464010,293323,4,"CA68"
20297588,464010,14138,"ca680_nnamed_0_1_carsitas sand, wet, 0 to 5 percent slopes_hkv2_gravelly",640011,14138,464010,293323,1,"CA68"
20297485,464011,14138,"ca680_riverwash_0_4_carsitas cobbly sand, 2 to 9 percent slopes_hkv3_0",640012,14138,464011,293324,4,"CA68"
20297486,464011,14138,"ca680_carrizo_0_4_carsitas cobbly sand, 2 to 9 percent slopes_hkv3_0",640014,14138,464011,293324,4,"CA68"
