cokey,mukey,lkey,key.join,coiid,liid,muiid,dmuiid,comppct,state
20351179,285948,12330,"ct600_woodbridge_0_9_ridgebury fine sandy loam, 0 to 3 percent slopes_2w69f_0",2472046,12330,2657457,755554,9,CT
20351178,285948,12330,"ct600_leicester_0_1_ridgebury fine sandy loam, 0 to 3 percent slopes_2w69f_0",2472043,12330,2657457,755554,1,CT
20351177,285948,12330,"ct600_ridgebury_1_85_ridgebury fine sandy loam, 0 to 3 percent slopes_2w69f_0",2472045,12330,2657457,755554,85,CT
20351180,285948,12330,"ct600_whitman_0_5_ridgebury fine sandy loam, 0 to 3 percent slopes_2w69f_0",2472044,12330,2657457,755554,5,CT
20351571,286014,12330,"ct600_ridgebury_1_40_ridgebury, leicester, and whitman soils, 0 to 8 percent slopes, extremely stony_2t2qt_extremely stony",2472035,12330,2594446,755553,40,CT
20351569,286014,12330,"ct600_woodbridge_0_6_ridgebury, leicester, and whitman soils, 0 to 8 percent slopes, extremely stony_2t2qt_extremely stony",2472039,12330,2594446,755553,6,CT
20351568,286014,12330,"ct600_whitman_1_17_ridgebury, leicester, and whitman soils, 0 to 8 percent slopes, extremely stony_2t2qt_extremely stony",2472040,12330,2594446,755553,17,CT
20351567,286014,12330,"ct600_swansea_0_2_ridgebury, leicester, and whitman soils, 0 to 8 percent slopes, extremely stony_2t2qt_0",2472038,12330,2594446,755553,2,CT
20351570,286014,12330,"ct600_leicester_1_35_ridgebury, leicester, and whitman soils, 0 to 8 percent slopes, extremely stony_2t2qt_extremely stony",2472036,12330,2594446,755553,35,CT
20350653,286051,12330,ct600_leicester_1_80_leicester fine sandy loam_9lng_0,320557,12330,286051,164633,80,CT
20350656,286051,12330,ct600_ridgebury_0_5_leicester fine sandy loam_9lng_0,320560,12330,286051,164633,5,CT
20350657,286051,12330,ct600_whitman_0_4_leicester fine sandy loam_9lng_0,320561,12330,286051,164633,4,CT
20350655,286051,12330,ct600_woodbridge_0_5_leicester fine sandy loam_9lng_0,320559,12330,286051,164633,5,CT
20350654,286051,12330,ct600_sutton_0_5_leicester fine sandy loam_9lng_0,320558,12330,286051,164633,5,CT
20350652,286051,12330,ct600_unnamed_0_1_leicester fine sandy loam_9lng_stony surface,320562,12330,286051,164633,1,CT
20351256,286069,12330,"ct600_menlo_0_5_wilbraham silt loam, 0 to 3 percent slopes_2wh26_0",2398057,12330,2665882,782128,5,CT
20351257,286069,12330,"ct600_wilbraham_1_85_wilbraham silt loam, 0 to 3 percent slopes_2wh26_0",2398055,12330,2665882,782128,85,CT
20351258,286069,12330,"ct600_ludlow_0_10_wilbraham silt loam, 0 to 3 percent slopes_2wh26_0",2398056,12330,2665882,782128,10,CT
20351715,286087,12330,"ct600_menlo_1_30_wilbraham and menlo soils, 0 to 8 percent slopes,  extremely stony_2wh25_extremely stony",2398047,12330,2665881,782125,30,CT
20351712,286087,12330,"ct600_watchaug_0_5_wilbraham and menlo soils, 0 to 8 percent slopes,  extremely stony_2wh25_0",2398048,12330,2665881,782125,5,CT
20351714,286087,12330,"ct600_wilbraham_1_60_wilbraham and menlo soils, 0 to 8 percent slopes,  extremely stony_2wh25_extremely stony",2398046,12330,2665881,782125,60,CT
20351713,286087,12330,"ct600_ludlow_0_5_wilbraham and menlo soils, 0 to 8 percent slopes,  extremely stony_2wh25_0",2398049,12330,2665881,782125,5,CT
20349616,286110,12330,ct600_unnamed_0_1_mudgepond silt loam_9lqc_steep slopes,371131,12330,286110,164636,1,CT
20349613,286110,12330,ct600_nellis_0_2_mudgepond silt loam_9lqc_0,320580,12330,286110,164636,2,CT
20349611,286110,12330,ct600_amenia_0_2_mudgepond silt loam_9lqc_0,320582,12330,286110,164636,2,CT
20349614,286110,12330,ct600_stockbridge_0_2_mudgepond silt loam_9lqc_0,320579,12330,286110,164636,2,CT
20349617,286110,12330,ct600_mudgepond_1_85_mudgepond silt loam_9lqc_0,320578,12330,286110,164636,85,CT
20349615,286110,12330,ct600_georgia_0_2_mudgepond silt loam_9lqc_0,320581,12330,286110,164636,2,CT
20349612,286110,12330,ct600_alden_0_5_mudgepond silt loam_9lqc_0,320583,12330,286110,164636,5,CT
20349618,286110,12330,ct600_natchaug_0_1_mudgepond silt loam_9lqc_0,371132,12330,286110,164636,1,CT
20349966,286128,12330,"ct600_mudgepond_1_45_mudgepond and alden soils, extremely stony_9lqy_0",320584,12330,286128,164637,45,CT
20349961,286128,12330,"ct600_georgia_0_5_mudgepond and alden soils, extremely stony_9lqy_0",320588,12330,286128,164637,5,CT
20349963,286128,12330,"ct600_nellis_0_5_mudgepond and alden soils, extremely stony_9lqy_0",320587,12330,286128,164637,5,CT
20349964,286128,12330,"ct600_alden_1_35_mudgepond and alden soils, extremely stony_9lqy_0",320585,12330,286128,164637,35,CT
20349965,286128,12330,"ct600_stockbridge_0_5_mudgepond and alden soils, extremely stony_9lqy_0",320586,12330,286128,164637,5,CT
20349962,286128,12330,"ct600_amenia_0_5_mudgepond and alden soils, extremely stony_9lqy_0",320589,12330,286128,164637,5,CT
20349622,286152,12330,"ct600_elmridge_0_5_scitico, shaker, and maybid soils_9lrq_0",320593,12330,286152,164638,5,CT
20349620,286152,12330,"ct600_unnamed_0_2_scitico, shaker, and maybid soils_9lrq_red parent material",371130,12330,286152,164638,2,CT
20349625,286152,12330,"ct600_scitico_1_40_scitico, shaker, and maybid soils_9lrq_0",320590,12330,286152,164638,40,CT
20349619,286152,12330,"ct600_unnamed_0_3_scitico, shaker, and maybid soils_9lrq_sand or gravel substratum",320595,12330,286152,164638,3,CT
20349624,286152,12330,"ct600_shaker_1_30_scitico, shaker, and maybid soils_9lrq_0",320591,12330,286152,164638,30,CT
20349623,286152,12330,"ct600_maybid_1_15_scitico, shaker, and maybid soils_9lrq_0",320592,12330,286152,164638,15,CT
20349621,286152,12330,"ct600_brancroft_0_5_scitico, shaker, and maybid soils_9lrq_0",320594,12330,286152,164638,5,CT
20350308,285930,12330,ct600_raynham_1_80_raynham silt loam_9ljk_0,320596,12330,285930,164639,80,CT
20350311,285930,12330,ct600_maybid_0_5_raynham silt loam_9ljk_0,320599,12330,285930,164639,5,CT
20350310,285930,12330,ct600_belgrade_0_5_raynham silt loam_9ljk_0,320597,12330,285930,164639,5,CT
20350307,285930,12330,ct600_scitico_0_5_raynham silt loam_9ljk_0,320598,12330,285930,164639,5,CT
20350309,285930,12330,ct600_ellington_0_5_raynham silt loam_9ljk_0,320600,12330,285930,164639,5,CT
20350312,285941,12330,ct600_unnamed_0_1_raypol silt loam_9ljx_loamy substratum,371129,12330,285941,164640,1,CT
20350318,285941,12330,ct600_enfield_0_5_raypol silt loam_9ljx_0,320603,12330,285941,164640,5,CT
20350315,285941,12330,ct600_ninigret_0_3_raypol silt loam_9ljx_0,320604,12330,285941,164640,3,CT
20350316,285941,12330,ct600_walpole_0_2_raypol silt loam_9ljx_0,320606,12330,285941,164640,2,CT
20350319,285941,12330,ct600_raypol_1_80_raypol silt loam_9ljx_0,320601,12330,285941,164640,80,CT
20350313,285941,12330,ct600_tisbury_0_2_raypol silt loam_9ljx_0,320605,12330,285941,164640,2,CT
20350314,285941,12330,ct600_scarboro_0_2_raypol silt loam_9ljx_0,320607,12330,285941,164640,2,CT
20350317,285941,12330,ct600_haven_0_5_raypol silt loam_9ljx_0,320602,12330,285941,164640,5,CT
20349886,285942,12330,"ct600_scarboro_0_10_walpole sandy loam, 0 to 3 percent slopes_2svkl_0",2215297,12330,2587557,680139,10,CT
20349885,285942,12330,"ct600_walpole_1_80_walpole sandy loam, 0 to 3 percent slopes_2svkl_0",2215295,12330,2587557,680139,80,CT
20349884,285942,12330,"ct600_sudbury_0_10_walpole sandy loam, 0 to 3 percent slopes_2svkl_0",2215298,12330,2587557,680139,10,CT
20350321,285943,12330,ct600_hero_0_5_fredon silt loam_9ljz_0,320617,12330,285943,164642,5,CT
20350322,285943,12330,ct600_halsey_0_5_fredon silt loam_9ljz_0,320618,12330,285943,164642,5,CT
20350323,285943,12330,ct600_fredon_1_85_fredon silt loam_9ljz_0,320615,12330,285943,164642,85,CT
20350320,285943,12330,ct600_copake_0_5_fredon silt loam_9ljz_0,320616,12330,285943,164642,5,CT
20350640,285944,12330,"ct600_deerfield_0_2_scarboro muck, 0 to 3 percent slopes_2svkt_0",2215346,12330,2587564,680152,2,CT
20350641,285944,12330,"ct600_scarboro_1_80_scarboro muck, 0 to 3 percent slopes_2svkt_0",2215340,12330,2587564,680152,80,CT
20350639,285944,12330,"ct600_timakwa_0_10_scarboro muck, 0 to 3 percent slopes_2svkt_0",2215345,12330,2587564,680152,10,CT
20350642,285944,12330,"ct600_walpole_0_8_scarboro muck, 0 to 3 percent slopes_2svkt_0",2215356,12330,2587564,680152,8,CT
20349973,285945,12330,ct600_natchaug_0_2_halsey silt loam_9lk1_0,320631,12330,285945,164644,2,CT
20349970,285945,12330,ct600_halsey_1_80_halsey silt loam_9lk1_0,320626,12330,285945,164644,80,CT
20349971,285945,12330,ct600_copake_0_5_halsey silt loam_9lk1_0,320628,12330,285945,164644,5,CT
20349968,285945,12330,ct600_timakwa_0_3_halsey silt loam_9lk1_0,320630,12330,285945,164644,3,CT
20349972,285945,12330,ct600_hero_0_3_halsey silt loam_9lk1_0,320629,12330,285945,164644,3,CT
20349969,285945,12330,ct600_mudgepond_0_5_halsey silt loam_9lk1_0,320627,12330,285945,164644,5,CT
20349967,285945,12330,ct600_unnamed_0_2_halsey silt loam_9lk1_silt loam subsoil,320632,12330,285945,164644,2,CT
20351098,285946,12330,"ct600_scarboro_0_2_timakwa and natchaug soils, 0 to 2 percent slopes_2t2qx_0",2238071,12330,2594449,688746,2,CT
20351101,285946,12330,"ct600_maybid_0_3_timakwa and natchaug soils, 0 to 2 percent slopes_2t2qx_0",2397237,12330,2594449,688746,3,CT
20351097,285946,12330,"ct600_catden_0_3_timakwa and natchaug soils, 0 to 2 percent slopes_2t2qx_0",2397241,12330,2594449,688746,3,CT
20351100,285946,12330,"ct600_natchaug_1_40_timakwa and natchaug soils, 0 to 2 percent slopes_2t2qx_0",2397239,12330,2594449,688746,40,CT
20351099,285946,12330,"ct600_whitman_0_7_timakwa and natchaug soils, 0 to 2 percent slopes_2t2qx_0",2397238,12330,2594449,688746,7,CT
