"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20226991,132812,10817,"fl019_osier_0_3_goldhead fine sand_4g68_non-hydric",1591725,10817,132812,98867,3,"FL"
20226992,132812,10817,"fl019_meggett_0_3_goldhead fine sand_4g68_0",1591707,10817,132812,98867,3,"FL"
20226993,132812,10817,"fl019_ocilla_0_3_goldhead fine sand_4g68_0",1591752,10817,132812,98867,3,"FL"
20226994,132812,10817,"fl019_plummer_0_3_goldhead fine sand_4g68_non-hydric",1591655,10817,132812,98867,3,"FL"
20226995,132812,10817,"fl019_goldhead_1_70_goldhead fine sand_4g68_non-hydric",1482607,10817,132812,98867,70,"FL"
20226996,132812,10817,"fl019_albany_0_3_goldhead fine sand_4g68_0",1591530,10817,132812,98867,3,"FL"
20226997,132812,10817,"fl019_goldhead_1_15_goldhead fine sand_4g68_hydric",187626,10817,132812,98867,15,"FL"
20227201,132813,10817,"fl019_meggett_0_3_pelham fine sand, 0 to 2 percent slopes_2tg56_0",2302349,10817,2605432,700325,3,"FL"
20227202,132813,10817,"fl019_pelham_1_75_pelham fine sand, 0 to 2 percent slopes_2tg56_0",2302350,10817,2605432,700325,75,"FL"
20227203,132813,10817,"fl019_unnamed_0_13_pelham fine sand, 0 to 2 percent slopes_2tg56_0",2302351,10817,2605432,700325,13,"FL"
20227204,132813,10817,"fl019_surrency_0_3_pelham fine sand, 0 to 2 percent slopes_2tg56_0",2302412,10817,2605432,700325,3,"FL"
20227205,132813,10817,"fl019_albany_0_6_pelham fine sand, 0 to 2 percent slopes_2tg56_0",2302413,10817,2605432,700325,6,"FL"
20226998,132814,10817,"fl019_leon_0_2_sapelo-urban land complex_4g6b_non-hydric",1591628,10817,132814,98869,2,"FL"
20226999,132814,10817,"fl019_meadowbrook_0_2_sapelo-urban land complex_4g6b_non-hydric",1591578,10817,132814,98869,2,"FL"
20227000,132814,10817,"fl019_hurricane_0_3_sapelo-urban land complex_4g6b_0",1591554,10817,132814,98869,3,"FL"
20227001,132814,10817,"fl019_sapelo_1_50_sapelo-urban land complex_4g6b_non-hydric",1482625,10817,132814,98869,50,"FL"
20227002,132814,10817,"fl019_albany_0_3_sapelo-urban land complex_4g6b_0",1591532,10817,132814,98869,3,"FL"
20227003,132814,10817,"fl019_sapelo_1_10_sapelo-urban land complex_4g6b_hydric",187633,10817,132814,98869,10,"FL"
20227004,132814,10817,"fl019_urban land_1_30_sapelo-urban land complex_4g6b_0",187634,10817,132814,98869,30,"FL"
20227005,132815,10817,"fl019_urban land_1_85_urban land_4g6c_0",187636,10817,132815,98870,85,"FL"
20227006,132815,10817,"fl019_hurricane_0_3_urban land_4g6c_0",1591555,10817,132815,98870,3,"FL"
20227007,132815,10817,"fl019_centenary_0_3_urban land_4g6c_0",1591616,10817,132815,98870,3,"FL"
20227008,132815,10817,"fl019_ridgewood_0_2_urban land_4g6c_0",1591590,10817,132815,98870,2,"FL"
20227009,132815,10817,"fl019_penney_0_2_urban land_4g6c_0",1591606,10817,132815,98870,2,"FL"
20227010,132815,10817,"fl019_ortega_0_3_urban land_4g6c_0",1591600,10817,132815,98870,3,"FL"
20227011,132815,10817,"fl019_sapelo_0_2_urban land_4g6c_non-hydric",1591668,10817,132815,98870,2,"FL"
20227012,132816,10817,"fl019_rutlege_0_5_maurepas muck, frequently flooded_4g6d_0",1591762,10817,132816,98871,5,"FL"
20227013,132816,10817,"fl019_pamlico_0_5_maurepas muck, frequently flooded_4g6d_0",1591782,10817,132816,98871,5,"FL"
20227014,132816,10817,"fl019_surrency_0_5_maurepas muck, frequently flooded_4g6d_0",1591783,10817,132816,98871,5,"FL"
20227015,132816,10817,"fl019_maurepas_1_85_maurepas muck, frequently flooded_4g6d_0",187640,10817,132816,98871,85,"FL"
20227016,132817,10817,"fl019_pamlico_1_80_pamlico muck_4g6f_0",187643,10817,132817,98872,80,"FL"
20227017,132817,10817,"fl019_osier_0_5_pamlico muck_4g6f_hydric",1591735,10817,132817,98872,5,"FL"
20227018,132817,10817,"fl019_surrency_0_5_pamlico muck_4g6f_0",1591705,10817,132817,98872,5,"FL"
20227019,132817,10817,"fl019_rutlege_0_5_pamlico muck_4g6f_0",1591677,10817,132817,98872,5,"FL"
20227020,132817,10817,"fl019_leon_0_5_pamlico muck_4g6f_non-hydric",1591629,10817,132817,98872,5,"FL"
20227021,132818,10817,"fl019_plummer_0_2_santee fine sandy loam, frequently flooded_4g6g_non-hydric",1591656,10817,132818,98873,2,"FL"
20227022,132818,10817,"fl019_pelham_0_3_santee fine sandy loam, frequently flooded_4g6g_non-hydric",1591644,10817,132818,98873,3,"FL"
20227023,132818,10817,"fl019_meggett_0_3_santee fine sandy loam, frequently flooded_4g6g_0",1591709,10817,132818,98873,3,"FL"
20227024,132818,10817,"fl019_goldhead_0_3_santee fine sandy loam, frequently flooded_4g6g_non-hydric",1591714,10817,132818,98873,3,"FL"
20227025,132818,10817,"fl019_surrency_0_2_santee fine sandy loam, frequently flooded_4g6g_0",1591784,10817,132818,98873,2,"FL"
20227026,132818,10817,"fl019_rutlege_0_2_santee fine sandy loam, frequently flooded_4g6g_0",1591764,10817,132818,98873,2,"FL"
20227027,132818,10817,"fl019_santee_1_85_santee fine sandy loam, frequently flooded_4g6g_0",187646,10817,132818,98873,85,"FL"
20227028,132819,10817,"fl019_rutlege_1_50_rutlege-osier complex, frequently flooded_4g6h_0",187649,10817,132819,98874,50,"FL"
20227029,132819,10817,"fl019_osier_1_40_rutlege-osier complex, frequently flooded_4g6h_0",187650,10817,132819,98874,40,"FL"
20227030,132819,10817,"fl019_pamlico_0_5_rutlege-osier complex, frequently flooded_4g6h_0",1591777,10817,132819,98874,5,"FL"
20227031,132819,10817,"fl019_maurepas_0_5_rutlege-osier complex, frequently flooded_4g6h_0",1591758,10817,132819,98874,5,"FL"
20226889,132820,10817,"fl019_ortega_0_2_hurricane fine sand, 0 to 5 percent slopes_4g6j_0",1591595,10817,132820,98849,2,"FL"
20226890,132820,10817,"fl019_centenary_0_3_hurricane fine sand, 0 to 5 percent slopes_4g6j_0",1591611,10817,132820,98849,3,"FL"
20226891,132820,10817,"fl019_leon_0_2_hurricane fine sand, 0 to 5 percent slopes_4g6j_non-hydric",1591620,10817,132820,98849,2,"FL"
20226892,132820,10817,"fl019_mandarin_0_2_hurricane fine sand, 0 to 5 percent slopes_4g6j_0",1591635,10817,132820,98849,2,"FL"
20226893,132820,10817,"fl019_blanton_0_3_hurricane fine sand, 0 to 5 percent slopes_4g6j_0",1591540,10817,132820,98849,3,"FL"
20226894,132820,10817,"fl019_albany_0_3_hurricane fine sand, 0 to 5 percent slopes_4g6j_0",1591520,10817,132820,98849,3,"FL"
20226895,132820,10817,"fl019_hurricane_1_85_hurricane fine sand, 0 to 5 percent slopes_4g6j_0",187572,10817,132820,98849,85,"FL"
20227032,132821,10817,"fl019_arents_1_100_arents, sandy_4g6k_sandy",187652,10817,132821,98875,100,"FL"
20227033,132822,10817,"fl019_pottsburg_1_70_pottsburg fine sand_4g6l_non-hydric",187653,10817,132822,98876,70,"FL"
20227034,132822,10817,"fl019_hurricane_0_4_pottsburg fine sand_4g6l_0",1591556,10817,132822,98876,4,"FL"
20227035,132822,10817,"fl019_pottsburg_1_10_pottsburg fine sand_4g6l_hydric",1482644,10817,132822,98876,10,"FL"
20227036,132822,10817,"fl019_osier_0_3_pottsburg fine sand_4g6l_hydric",1591737,10817,132822,98876,3,"FL"
20227037,132822,10817,"fl019_plummer_0_3_pottsburg fine sand_4g6l_non-hydric",1591657,10817,132822,98876,3,"FL"
20227038,132822,10817,"fl019_rutlege_0_3_pottsburg fine sand_4g6l_0",1591678,10817,132822,98876,3,"FL"
20227039,132822,10817,"fl019_leon_0_4_pottsburg fine sand_4g6l_non-hydric",1591630,10817,132822,98876,4,"FL"
20227040,132822,10817,"fl019_ridgewood_0_3_pottsburg fine sand_4g6l_0",1591591,10817,132822,98876,3,"FL"
20227041,132823,10817,"fl019_albany_0_5_blanton fine sand, 5 to 8 percent slopes_4g6m_0",1591533,10817,132823,98877,5,"FL"
20227042,132823,10817,"fl019_meadowbrook_0_5_blanton fine sand, 5 to 8 percent slopes_4g6m_non-hydric",1591579,10817,132823,98877,5,"FL"
20227043,132823,10817,"fl019_ocilla_0_5_blanton fine sand, 5 to 8 percent slopes_4g6m_0",1591583,10817,132823,98877,5,"FL"
20227044,132823,10817,"fl019_blanton_1_80_blanton fine sand, 5 to 8 percent slopes_4g6m_0",187656,10817,132823,98877,80,"FL"
20227045,132823,10817,"fl019_ridgewood_0_5_blanton fine sand, 5 to 8 percent slopes_4g6m_0",1591789,10817,132823,98877,5,"FL"
20227046,132824,10817,"fl019_ortega_0_3_penney fine sand, 5 to 8 percent slopes_4g6n_0",1591798,10817,132824,98878,3,"FL"
20227047,132824,10817,"fl019_blanton_0_4_penney fine sand, 5 to 8 percent slopes_4g6n_0",1591800,10817,132824,98878,4,"FL"
20227048,132824,10817,"fl019_penney_1_85_penney fine sand, 5 to 8 percent slopes_4g6n_0",187659,10817,132824,98878,85,"FL"
20227049,132824,10817,"fl019_albany_0_4_penney fine sand, 5 to 8 percent slopes_4g6n_0",1591534,10817,132824,98878,4,"FL"
20227050,132824,10817,"fl019_centenary_0_4_penney fine sand, 5 to 8 percent slopes_4g6n_0",1591617,10817,132824,98878,4,"FL"
20227051,132825,10817,"fl019_centenary_0_3_ortega fine sand, 5 to 8 percent slopes_4g6p_0",1591618,10817,132825,98879,3,"FL"
20227052,132825,10817,"fl019_albany_0_3_ortega fine sand, 5 to 8 percent slopes_4g6p_0",1591535,10817,132825,98879,3,"FL"
20227053,132825,10817,"fl019_hurricane_0_2_ortega fine sand, 5 to 8 percent slopes_4g6p_0",1591557,10817,132825,98879,2,"FL"
20227054,132825,10817,"fl019_ortega_1_85_ortega fine sand, 5 to 8 percent slopes_4g6p_0",187662,10817,132825,98879,85,"FL"
20227055,132825,10817,"fl019_penney_0_2_ortega fine sand, 5 to 8 percent slopes_4g6p_0",1591806,10817,132825,98879,2,"FL"
20227056,132825,10817,"fl019_blanton_0_3_ortega fine sand, 5 to 8 percent slopes_4g6p_0",1591808,10817,132825,98879,3,"FL"
20227057,132825,10817,"fl019_ridgewood_0_2_ortega fine sand, 5 to 8 percent slopes_4g6p_0",1591790,10817,132825,98879,2,"FL"
20227058,132826,10817,"fl019_ortega_0_3_ridgewood fine sand, 5 to 8 percent slopes_4g6q_0",1591799,10817,132826,98880,3,"FL"
20227059,132826,10817,"fl019_ridgewood_1_85_ridgewood fine sand, 5 to 8 percent slopes_4g6q_0",187665,10817,132826,98880,85,"FL"
20227060,132826,10817,"fl019_hurricane_0_3_ridgewood fine sand, 5 to 8 percent slopes_4g6q_0",1591558,10817,132826,98880,3,"FL"
20227061,132826,10817,"fl019_albany_0_3_ridgewood fine sand, 5 to 8 percent slopes_4g6q_0",1591536,10817,132826,98880,3,"FL"
20227062,132826,10817,"fl019_plummer_0_3_ridgewood fine sand, 5 to 8 percent slopes_4g6q_non-hydric",1591658,10817,132826,98880,3,"FL"
20227063,132826,10817,"fl019_osier_0_3_ridgewood fine sand, 5 to 8 percent slopes_4g6q_non-hydric",1591726,10817,132826,98880,3,"FL"
20227064,132827,10817,"fl019_osier_0_3_surrency fine sand, frequently flooded_4g6r_non-hydric",1591727,10817,132827,98881,3,"FL"
20227065,132827,10817,"fl019_santee_0_2_surrency fine sand, frequently flooded_4g6r_0",1591710,10817,132827,98881,2,"FL"
20227066,132827,10817,"fl019_plummer_0_2_surrency fine sand, frequently flooded_4g6r_hydric",1591719,10817,132827,98881,2,"FL"
20227067,132827,10817,"fl019_rutlege_0_2_surrency fine sand, frequently flooded_4g6r_0",1591765,10817,132827,98881,2,"FL"
20227068,132827,10817,"fl019_pelham_0_3_surrency fine sand, frequently flooded_4g6r_non-hydric",1591645,10817,132827,98881,3,"FL"
20227069,132827,10817,"fl019_surrency_1_85_surrency fine sand, frequently flooded_4g6r_0",187668,10817,132827,98881,85,"FL"
20227070,132827,10817,"fl019_pamlico_0_3_surrency fine sand, frequently flooded_4g6r_0",1591781,10817,132827,98881,3,"FL"
20227071,132828,10817,"fl019_meadowbrook_1_75_meadowbrook sand, frequently flooded_4g6s_hydric",187671,10817,132828,98882,75,"FL"
