"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20136979,79392,10414,"id606_avonville_1_70_avonville gravelly coarse sandy loam, 0 to 20 percent slopes_2nm1_0",110510,10414,79392,55929,70,"ID"
20136987,79393,10414,"id606_avonville_1_70_avonville fine gravelly silt loam, 0 to 7 percent slopes_2nm2_0",110517,10414,79393,55930,70,"ID"
20137004,79394,10414,"id606_avonville_1_75_avonville fine gravelly silt loam, 7 to 20 percent slopes_2nm3_0",110524,10414,79394,55931,75,"ID"
20136988,79395,10414,"id606_blinn_1_85_blinn loam, 5 to 35 percent slopes, very stony_2nm4_very stony surface",110530,10414,79395,55932,85,"ID"
20137005,79396,10414,"id606_blinn_1_90_blinn loam, 35 to 65 percent slopes, very stony_2nm5_very stony surface",110534,10414,79396,55933,90,"ID"
20136989,79397,10414,"id606_bonner_1_85_bonner ashy silt loam, 0 to 8 percent slopes_2nm6_0",110537,10414,79397,55934,85,"ID"
20136995,79398,10414,"id606_bonner_1_90_bonner gravelly silt loam, 0 to 8 percent slopes_2nm7_0",110541,10414,79398,55935,90,"ID"
20136996,79399,10414,"id606_brickel_1_65_brickel-rubble land association_2nm8_0",110544,10414,79399,55936,65,"ID"
20136997,79399,10414,"id606_rubble land_1_25_brickel-rubble land association_2nm8_0",110545,10414,79399,55936,25,"ID"
20136998,79400,10414,"id606_porrett_0_5_cald silt loam_2nm9_0",110552,10414,79400,55937,5,"ID"
20136999,79400,10414,"id606_cald_1_70_cald silt loam_2nm9_0",110549,10414,79400,55937,70,"ID"
20137000,79400,10414,"id606_potlatch_0_5_cald silt loam_2nm9_0",110553,10414,79400,55937,5,"ID"
20137001,79401,10414,"id606_thatuna_1_25_cald-thatuna silt loams, 0 to 7 percent slopes_2nmb_0",110557,10414,79401,55938,25,"ID"
20137002,79401,10414,"id606_cald_1_55_cald-thatuna silt loams, 0 to 7 percent slopes_2nmb_0",110556,10414,79401,55938,55,"ID"
20137003,79401,10414,"id606_aquolls_0_5_cald-thatuna silt loams, 0 to 7 percent slopes_2nmb_0",110559,10414,79401,55938,5,"ID"
20136990,79402,10414,"id606_chatcolet_1_90_chatcolet cobbly loam, 7 to 25 percent slopes_2nmc_0",110560,10414,79402,55939,90,"ID"
20137006,79403,10414,"id606_chatcolet_1_85_chatcolet cobbly loam, 25 to 65 percent slopes_2nmd_0",110563,10414,79403,55940,85,"ID"
20136991,79404,10414,"id606_rubson_1_35_chatcolet-rubson silt loams, 5 to 20 percent slopes_2nmf_0",110568,10414,79404,55941,35,"ID"
20136992,79404,10414,"id606_chatcolet_1_55_chatcolet-rubson silt loams, 5 to 20 percent slopes_2nmf_0",110567,10414,79404,55941,55,"ID"
20137007,79405,10414,"id606_pywell_0_5_cougarbay silt loam_2nmg_0",1507407,10414,79405,55942,5,"ID"
20137008,79405,10414,"id606_cougarbay_1_90_cougarbay silt loam_2nmg_0",110570,10414,79405,55942,90,"ID"
20136980,79406,10414,"id606_brickel_1_20_divers-brickel association, 45 to 75 percent slopes_2nmh_0",110574,10414,79406,55943,20,"ID"
20136981,79406,10414,"id606_divers_1_50_divers-brickel association, 45 to 75 percent slopes_2nmh_0",110573,10414,79406,55943,50,"ID"
20136982,79407,10414,"id606_dorb_1_80_dorb silt loam, 5 to 35 percent slopes_2nmj_0",110577,10414,79407,55944,80,"ID"
20136983,79408,10414,"id606_dystrochreptic arent_1_95_dystrochreptic arents, 0 to 20 percent slopes_2nmk_0",110582,10414,79408,55945,95,"ID"
20136984,79409,10414,"id606_garrison_1_75_garrison gravelly silt loam, 0 to 7 percent slopes_2nml_0",110584,10414,79409,55946,75,"ID"
20137009,79410,10414,"id606_garrison_1_95_garrison very stony silt loam, 0 to 7 percent slopes_2nmm_0",110590,10414,79410,55947,95,"ID"
