"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
19642018,1592397,14684,"ky001_lawrence_0_1_dunning silty clay loam, rarely flooded_1qg0n_0",1461297,14684,1592397,376576,1,"KY"
19642015,1592397,14684,"ky001_dunning_1_90_dunning silty clay loam, rarely flooded_1qg0n_rarely flooded",813736,14684,1592397,376576,90,"KY"
19642016,1592397,14684,"ky001_newark_0_6_dunning silty clay loam, rarely flooded_1qg0n_0",1461287,14684,1592397,376576,6,"KY"
19642017,1592397,14684,"ky001_melvin_0_3_dunning silty clay loam, rarely flooded_1qg0n_occasionally flooded",1740345,14684,1592397,376576,3,"KY"
19641916,1592398,14684,"ky001_lindside_0_5_nolin silt loam, occasionally flooded_1qg0p_0",1461315,14684,1592398,378453,5,"KY"
19641917,1592398,14684,"ky001_nolin_1_85_nolin silt loam, occasionally flooded_1qg0p_occasionally flooded",816623,14684,1592398,378453,85,"KY"
19641918,1592398,14684,"ky001_newark_0_7_nolin silt loam, occasionally flooded_1qg0p_0",1461314,14684,1592398,378453,7,"KY"
19641919,1592398,14684,"ky001_chagrin_0_3_nolin silt loam, occasionally flooded_1qg0p_0",1461316,14684,1592398,378453,3,"KY"
19641901,1592399,14684,"ky001_caneyville_1_25_rock outcrop-caneyville complex, 6 to 20 percent slopes_1qg0q_0",1466366,14684,1592399,496196,25,"KY"
19641902,1592399,14684,"ky001_frederick_0_10_rock outcrop-caneyville complex, 6 to 20 percent slopes_1qg0q_0",1686753,14684,1592399,496196,10,"KY"
19641903,1592399,14684,"ky001_rock outcrop_1_65_rock outcrop-caneyville complex, 6 to 20 percent slopes_1qg0q_0",1447357,14684,1592399,496196,65,"KY"
19641920,1592400,14684,"ky001_melvin_0_5_newark silt loam, occasionally flooded_1qg0r_occasionally flooded",1740347,14684,1592400,376596,5,"KY"
19641921,1592400,14684,"ky001_nolin_0_5_newark silt loam, occasionally flooded_1qg0r_0",1461355,14684,1592400,376596,5,"KY"
