"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20181707,326988,12742,"la103_minor components_0_15_allemands muck_bz80_0",1616860,12742,326988,518154,15,"LA"
20181708,326988,12742,"la103_allemands_1_85_allemands muck_bz80_0",1616859,12742,326988,518154,85,"LA"
20181709,326989,12742,"la103_minor components_0_14_arat silty clay loam_bz81_0",1616865,12742,326989,518157,14,"LA"
20181710,326989,12742,"la103_arat_1_86_arat silty clay loam_bz81_0",1616864,12742,326989,518157,86,"LA"
20181711,326990,12742,"la103_rosebloom_1_40_arkabutla and rosebloom soils, frequently flooded_bz82_0",1616868,12742,326990,518158,40,"LA"
20181712,326990,12742,"la103_minor components_0_10_arkabutla and rosebloom soils, frequently flooded_bz82_0",1616866,12742,326990,518158,10,"LA"
20181713,326990,12742,"la103_arkabutla_1_50_arkabutla and rosebloom soils, frequently flooded_bz82_0",1616867,12742,326990,518158,50,"LA"
20181714,326993,12742,"la103_minor components_0_10_allemands muck, drained_bz85_0",1616862,12742,326993,518155,10,"LA"
20181715,326993,12742,"la103_allemands_1_90_allemands muck, drained_bz85_0",1616861,12742,326993,518155,90,"LA"
20181716,326994,12742,"la103_aquents_1_100_aquents, dredged_bz86_0",1616863,12742,326994,518156,100,"LA"
20181717,326999,12742,"la103_dumps_1_100_dumps_bz8c_0",1616878,12742,326999,518163,100,"LA"
20181718,327016,12742,"la103_ruston_1_90_ruston fine sandy loam, 3 to 6 percent slopes_bz8x_0",1616915,12742,327016,518180,90,"LA"
20181719,327016,12742,"la103_minor components_0_10_ruston fine sandy loam, 3 to 6 percent slopes_bz8x_0",1616916,12742,327016,518180,10,"LA"
20181720,327018,12742,"la103_minor components_0_5_savannah fine sandy loam, 3 to 6 percent slopes_bz8z_0",1616920,12742,327018,518182,5,"LA"
20181721,327018,12742,"la103_savannah_1_95_savannah fine sandy loam, 3 to 6 percent slopes_bz8z_0",1616919,12742,327018,518182,95,"LA"
20181722,327021,12742,"la103_water_1_100_water_bz92_large",1616927,12742,327021,518185,100,"LA"
20181723,327003,12742,"la103_kenner_1_86_kenner muck_bz8h_0",1616885,12742,327003,518167,86,"LA"
20181724,327003,12742,"la103_minor components_0_14_kenner muck_bz8h_0",1616886,12742,327003,518167,14,"LA"
20181725,327008,12742,"la103_minor components_0_15_maurepas muck, drained_bz8n_0",1616897,12742,327008,518172,15,"LA"
20181726,327008,12742,"la103_maurepas_1_85_maurepas muck, drained_bz8n_0",1616896,12742,327008,518172,85,"LA"
20181727,327010,12742,"la103_myatt_1_85_myatt fine sandy loam, frequently flooded_bz8q_0",1616900,12742,327010,518174,85,"LA"
20181728,327010,12742,"la103_minor components_0_15_myatt fine sandy loam, frequently flooded_bz8q_0",1616901,12742,327010,518174,15,"LA"
20181729,327011,12742,"la103_ouachita_1_60_ouachita and bibb soils, frequently flooded_bz8r_0",1616902,12742,327011,518175,60,"LA"
20181730,327011,12742,"la103_bibb_1_40_ouachita and bibb soils, frequently flooded_bz8r_0",1616903,12742,327011,518175,40,"LA"
20181731,327012,12742,"la103_pits_1_100_pits_bz8s_0",1616904,12742,327012,518176,100,"LA"
20181732,326991,12742,"la103_guyton_0_2_abita silt loam, 0 to 2 percent slopes_2rs47_0",2134245,12742,2555430,643847,2,"LA"
20181733,326991,12742,"la103_stough_0_2_abita silt loam, 0 to 2 percent slopes_2rs47_0",2134242,12742,2555430,643847,2,"LA"
20181734,326991,12742,"la103_abita_1_90_abita silt loam, 0 to 2 percent slopes_2rs47_0",2134237,12742,2555430,643847,90,"LA"
20181735,326991,12742,"la103_myatt_0_2_abita silt loam, 0 to 2 percent slopes_2rs47_0",2134246,12742,2555430,643847,2,"LA"
20181736,326991,12742,"la103_prentiss_0_2_abita silt loam, 0 to 2 percent slopes_2rs47_0",2134241,12742,2555430,643847,2,"LA"
20181737,326991,12742,"la103_brimstone_0_2_abita silt loam, 0 to 2 percent slopes_2rs47_0",2134244,12742,2555430,643847,2,"LA"
20181738,326992,12742,"la103_prentiss_0_2_abita silt loam, 2 to 5 percent slopes_2rs49_0",2258919,12742,2555432,675479,2,"LA"
20181739,326992,12742,"la103_myatt_0_3_abita silt loam, 2 to 5 percent slopes_2rs49_0",2258922,12742,2555432,675479,3,"LA"
20181740,326992,12742,"la103_stough_0_3_abita silt loam, 2 to 5 percent slopes_2rs49_0",2258920,12742,2555432,675479,3,"LA"
20181741,326992,12742,"la103_guyton_0_2_abita silt loam, 2 to 5 percent slopes_2rs49_0",2258921,12742,2555432,675479,2,"LA"
20181742,326992,12742,"la103_abita_1_90_abita silt loam, 2 to 5 percent slopes_2rs49_0",2258918,12742,2555432,675479,90,"LA"
20181743,326995,12742,"la103_barbary_1_90_barbary mucky clay, 0 to 1 percent slopes, frequently flooded_2qr6p_frequently flooded",2260150,12742,2524754,696933,90,"LA"
20181744,326995,12742,"la103_fausse_0_8_barbary mucky clay, 0 to 1 percent slopes, frequently flooded_2qr6p_frequently flooded",2260153,12742,2524754,696933,8,"LA"
20181745,326995,12742,"la103_schriever_0_2_barbary mucky clay, 0 to 1 percent slopes, frequently flooded_2qr6p_frequently flooded",2260152,12742,2524754,696933,2,"LA"
20181746,327004,12742,"la103_lafitte_1_80_lafitte muck, 0 to 0.2 percent slopes, very frequently flooded_2tpbw_very frequently flooded",2193747,12742,2612335,696944,80,"LA"
20181747,327004,12742,"la103_clovelly_0_15_lafitte muck, 0 to 0.2 percent slopes, very frequently flooded_2tpbw_very frequently flooded",2193748,12742,2612335,696944,15,"LA"
20181748,327004,12742,"la103_kenner_0_5_lafitte muck, 0 to 0.2 percent slopes, very frequently flooded_2tpbw_very frequently flooded",2193749,12742,2612335,696944,5,"LA"
20181749,326997,12742,"la103_scatlake_0_10_clovelly muck, 0 to 0.2 percent slopes, very frequently flooded_2tpng_very frequently flooded",2281538,12742,2612632,707625,10,"LA"
