"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20310005,2798135,12951,"mn027_rockwell_1_90_rockwell loam, very poorly drained, 0 to 1 percent slopes_2sw8j_0",2487817,12951,2588237,770340,90,"MN"
20310006,2798135,12951,"mn027_markey_0_5_rockwell loam, very poorly drained, 0 to 1 percent slopes_2sw8j_0",2535450,12951,2588237,770340,5,"MN"
20310007,2798135,12951,"mn027_arveson_0_5_rockwell loam, very poorly drained, 0 to 1 percent slopes_2sw8j_0",2535466,12951,2588237,770340,5,"MN"
20310159,2798136,12951,"mn027_ulen_0_5_rosewood loamy fine sand, 0 to 1 percent slopes_2sw8s_moderately saline",2418052,12951,2588245,752110,5,"MN"
20310160,2798136,12951,"mn027_garborg_0_5_rosewood loamy fine sand, 0 to 1 percent slopes_2sw8s_0",2418092,12951,2588245,752110,5,"MN"
20310161,2798136,12951,"mn027_hamar_0_10_rosewood loamy fine sand, 0 to 1 percent slopes_2sw8s_0",2418093,12951,2588245,752110,10,"MN"
20310162,2798136,12951,"mn027_rosewood_1_80_rosewood loamy fine sand, 0 to 1 percent slopes_2sw8s_0",2420658,12951,2588245,752110,80,"MN"
20310400,2798137,12951,"mn027_foxhome_0_5_sioux sandy loam, 0 to 2 percent slopes_2sw93_0",2479953,12951,2588255,782832,5,"MN"
20310401,2798137,12951,"mn027_sioux_1_80_sioux sandy loam, 0 to 2 percent slopes_2sw93_0",2479971,12951,2588255,782832,80,"MN"
20310402,2798137,12951,"mn027_hangaard_0_5_sioux sandy loam, 0 to 2 percent slopes_2sw93_0",2479952,12951,2588255,782832,5,"MN"
20310403,2798137,12951,"mn027_lohnes_0_5_sioux sandy loam, 0 to 2 percent slopes_2sw93_0",2488154,12951,2588255,782832,5,"MN"
20310404,2798137,12951,"mn027_renshaw_0_5_sioux sandy loam, 0 to 2 percent slopes_2sw93_0",2479961,12951,2588255,782832,5,"MN"
20310544,2798138,12951,"mn027_renshaw_0_10_sioux sandy loam, 2 to 6 percent slopes_2sw94_0",2479943,12951,2588256,782834,10,"MN"
20310545,2798138,12951,"mn027_lohnes_0_5_sioux sandy loam, 2 to 6 percent slopes_2sw94_0",2479941,12951,2588256,782834,5,"MN"
20310546,2798138,12951,"mn027_sioux_1_75_sioux sandy loam, 2 to 6 percent slopes_2sw94_0",2479972,12951,2588256,782834,75,"MN"
20310547,2798138,12951,"mn027_osakis_0_10_sioux sandy loam, 2 to 6 percent slopes_2sw94_0",2511928,12951,2588256,782834,10,"MN"
20310541,2798139,12951,"mn027_maddock_0_7_sioux sandy loam, 6 to 15 percent slopes_2sw95_0",2479954,12951,2588257,782833,7,"MN"
20310542,2798139,12951,"mn027_lohnes_0_8_sioux sandy loam, 6 to 15 percent slopes_2sw95_0",2479945,12951,2588257,782833,8,"MN"
20310543,2798139,12951,"mn027_sioux_1_85_sioux sandy loam, 6 to 15 percent slopes_2sw95_0",2479973,12951,2588257,782833,85,"MN"
20310391,2798142,12951,"mn027_markey_0_5_syrene sandy clay loam, 0 to 2 percent slopes_2sw9d_0",2222807,12951,2588264,681127,5,"MN"
20310392,2798142,12951,"mn027_rockwell_0_5_syrene sandy clay loam, 0 to 2 percent slopes_2sw9d_0",2222808,12951,2588264,681127,5,"MN"
20310393,2798142,12951,"mn027_syrene_1_90_syrene sandy clay loam, 0 to 2 percent slopes_2sw9d_0",2221089,12951,2588264,681127,90,"MN"
20310008,2798144,12951,"mn027_flom_0_5_urness mucky silt loam, 0 to 1 percent slopes_2sw9k_0",2535620,12951,2588269,770354,5,"MN"
20310009,2798144,12951,"mn027_quam_0_10_urness mucky silt loam, 0 to 1 percent slopes_2sw9k_0",2521890,12951,2588269,770354,10,"MN"
20310010,2798144,12951,"mn027_urness_1_85_urness mucky silt loam, 0 to 1 percent slopes_2sw9k_0",2521889,12951,2588269,770354,85,"MN"
20310057,2798145,12951,"mn027_antler_0_5_vallers loam, lake plain, 0 to 1 percent slopes_2sw9m_moderately saline",2332869,12951,2588271,720809,5,"MN"
20310058,2798145,12951,"mn027_rockwell_0_5_vallers loam, lake plain, 0 to 1 percent slopes_2sw9m_0",2332844,12951,2588271,720809,5,"MN"
20310059,2798145,12951,"mn027_vallers_1_85_vallers loam, lake plain, 0 to 1 percent slopes_2sw9m_0",2332841,12951,2588271,720809,85,"MN"
20310060,2798145,12951,"mn027_flom_0_5_vallers loam, lake plain, 0 to 1 percent slopes_2sw9m_0",2332843,12951,2588271,720809,5,"MN"
20310263,2798146,12951,"mn027_augsburg_0_5_wheatville loam, 0 to 2 percent slopes_2sw9n_0",2448623,12951,2588272,770275,5,"MN"
20310264,2798146,12951,"mn027_wheatville_1_85_wheatville loam, 0 to 2 percent slopes_2sw9n_0",2448621,12951,2588272,770275,85,"MN"
20310261,2798146,12951,"mn027_wheatville_0_5_wheatville loam, 0 to 2 percent slopes_2sw9n_moderately saline",2487655,12951,2588272,770275,5,"MN"
20310262,2798146,12951,"mn027_borup_0_5_wheatville loam, 0 to 2 percent slopes_2sw9n_0",2448622,12951,2588272,770275,5,"MN"
20310345,2798147,12951,"mn027_wyndmere_0_5_elmville fine sandy loam, 0 to 2 percent slopes_2sx33_0",2535570,12951,2589030,794932,5,"MN"
20310346,2798147,12951,"mn027_elmville_0_5_elmville fine sandy loam, 0 to 2 percent slopes_2sx33_moderately saline",2535567,12951,2589030,794932,5,"MN"
20310347,2798147,12951,"mn027_croke_0_5_elmville fine sandy loam, 0 to 2 percent slopes_2sx33_0",2535569,12951,2589030,794932,5,"MN"
20310348,2798147,12951,"mn027_augsburg_0_5_elmville fine sandy loam, 0 to 2 percent slopes_2sx33_0",2535575,12951,2589030,794932,5,"MN"
20310349,2798147,12951,"mn027_elmville_1_80_elmville fine sandy loam, 0 to 2 percent slopes_2sx33_0",2535568,12951,2589030,794932,80,"MN"
20310041,2798148,12951,"mn027_wyndmere_1_35_wyndmere, moderately saline-wyndmere fine sandy loams, 0 to 2 percent slopes_2sx34_0",2401086,12951,2589031,756777,35,"MN"
20310042,2798148,12951,"mn027_elmville_0_5_wyndmere, moderately saline-wyndmere fine sandy loams, 0 to 2 percent slopes_2sx34_0",2401099,12951,2589031,756777,5,"MN"
20310043,2798148,12951,"mn027_arveson_0_5_wyndmere, moderately saline-wyndmere fine sandy loams, 0 to 2 percent slopes_2sx34_0",2401095,12951,2589031,756777,5,"MN"
20310044,2798148,12951,"mn027_wyndmere_1_55_wyndmere, moderately saline-wyndmere fine sandy loams, 0 to 2 percent slopes_2sx34_moderately saline",2401098,12951,2589031,756777,55,"MN"
20310359,2798143,12951,"mn027_towner_1_85_towner loamy fine sand, 0 to 3 percent slopes_2sx37_0",2222877,12951,2589034,681929,85,"MN"
20310360,2798143,12951,"mn027_swenoda_0_5_towner loamy fine sand, 0 to 3 percent slopes_2sx37_0",2222879,12951,2589034,681929,5,"MN"
20310361,2798143,12951,"mn027_grimstad_0_5_towner loamy fine sand, 0 to 3 percent slopes_2sx37_0",2222880,12951,2589034,681929,5,"MN"
20310362,2798143,12951,"mn027_hecla_0_5_towner loamy fine sand, 0 to 3 percent slopes_2sx37_0",2222878,12951,2589034,681929,5,"MN"
20310127,356993,12951,"mn027_seelyeville_0_5_markey muck, occasionally ponded, 0 to 1 percent slopes_2t4td_0",2241855,12951,2596448,690050,5,"MN"
20310128,356993,12951,"mn027_markey_1_85_markey muck, occasionally ponded, 0 to 1 percent slopes_2t4td_occasionally ponded",2241851,12951,2596448,690050,85,"MN"
20310129,356993,12951,"mn027_markey_0_10_markey muck, occasionally ponded, 0 to 1 percent slopes_2t4td_frequently ponded",2241852,12951,2596448,690050,10,"MN"
