cokey,mukey,lkey,key.join,coiid,liid,muiid,dmuiid,comppct,state
19949502,1691881,10677,"ne001_anselmo_1_100_anselmo fine sandy loam, terrace, 0 to 1 percent slopes_1tsjt_0",147771,10677,1691881,70062,100,NE
19949503,1691882,10677,"ne001_anselmo_1_100_anselmo fine sandy loam, terrace, 1 to 3 percent slopes_1tsjv_0",147779,10677,1691882,70069,100,NE
19949589,1691884,10677,"ne001_cass_1_100_cass loam, occasionally flooded_1tsjx_occasionally flooded",147773,10677,1691884,70064,100,NE
19949590,1691888,10677,"ne001_hastings variant_1_100_hastings silt loam, thin solum variant_1tsk1_0",147777,10677,1691888,70067,100,NE
19949493,1691890,10677,"ne001_arents_1_100_arents, earthen dam_1tsk3_earthen dam",156969,10677,1691890,74750,100,NE
19949584,1691891,10677,ne001_pits_1_100_borrow pit_1tsk4_borrow,157101,10677,1691891,74824,100,NE
19949585,1691894,10677,"ne001_coly_1_100_coly silt loam, 6 to 11 percent slopes, eroded_1tsk7_0",148104,10677,1691894,70281,100,NE
19949504,1691897,10677,"ne001_cass_1_100_cass loam, rarely flooded_1tskb_rarely flooded",147789,10677,1691897,70076,100,NE
19949434,1691898,10677,"ne001_cass_1_100_cass fine sandy loam, rarely flooded_1tskc_rarely flooded",147790,10677,1691898,70077,100,NE
19949494,1691902,10677,ne001_pits_1_100_gravel pit_1tskh_0,157077,10677,1691902,74807,100,NE
19949505,1691906,10677,"ne001_hall_1_98_hall silt loam, 0 to 1 percent slopes_1tskm_0",147800,10677,1691906,70085,98,NE
19949506,1691906,10677,"ne001_fillmore_0_2_hall silt loam, 0 to 1 percent slopes_1tskm_frequently ponded",147801,10677,1691906,70085,2,NE
19949379,1691911,10677,"ne001_holder_1_100_holder silt loam, 3 to 7 percent slopes, eroded_1tsks_0",147806,10677,1691911,70090,100,NE
19949380,1691912,10677,"ne001_holder variant_1_100_holder silty clay loam, 3 to 7 percent slopes, severely eroded_1tskt_severely eroded",147809,10677,1691912,70091,100,NE
19949381,1691913,10677,"ne001_holder_1_100_holder silt loam, 7 to 11 percent slopes_1tskv_0",147811,10677,1691913,70092,100,NE
19949437,1691914,10677,"ne001_holder variant_1_100_holder silty clay loam, 7 to 11 percent slopes, severely eroded_1tskw_severely eroded",147812,10677,1691914,70093,100,NE
19949507,1691915,10677,"ne001_hersh_1_100_hersh fine sandy loam, 3 to 6 percent slopes_1tskx_0",147815,10677,1691915,70094,100,NE
19949435,1691916,10677,"ne001_kenesaw_1_45_hersh-kenesaw complex, undulating_1tsky_0",891702,10677,1691916,70084,45,NE
19949436,1691916,10677,"ne001_hersh_1_55_hersh-kenesaw complex, undulating_1tsky_0",147798,10677,1691916,70084,55,NE
19949591,1691919,10677,"ne001_hord_1_100_hord silt loam, rarely flooded_1tsl1_rarely flooded",147818,10677,1691919,70097,100,NE
19949592,1691920,10677,"ne001_inavale_1_100_inavale loamy fine sand, occasionally flooded_1tsl2_occasionally flooded",147819,10677,1691920,70098,100,NE
19949593,1691921,10677,"ne001_inavale_1_100_inavale fine sandy loam, occasionally flooded_1tsl3_occasionally flooded",147820,10677,1691921,70099,100,NE
19949495,1691922,10677,ne001_aquolls_1_100_aquolls_1tsl4_0,157131,10677,1691922,74841,100,NE
19949438,1691927,10677,"ne001_massie_1_100_massie silt loam, frequently ponded_1tsl9_frequently ponded",147829,10677,1691927,70104,100,NE
19949582,1691928,10677,"ne001_water_1_100_miscellaneous water, sewage lagoon_1tslb_sewage lagoons",156968,10677,1691928,74749,100,NE
19949382,1691929,10677,"ne001_meadin_1_100_meadin sandy loam, 0 to 2 percent slopes_1tslc_0",147830,10677,1691929,70105,100,NE
19949383,1691930,10677,"ne001_wt at 0-1 foot_0_1_platte loam, occasionally flooded_1tsld_0",1464240,10677,1691930,70106,1,NE
19949384,1691930,10677,"ne001_platte_1_99_platte loam, occasionally flooded_1tsld_occasionally flooded",147831,10677,1691930,70106,99,NE
19949385,1691931,10677,"ne001_coly_1_100_coly silt loam, 30 to 60 percent slopes_1tslf_0",147833,10677,1691931,70107,100,NE
19949387,1691932,10677,"ne001_rusco_1_98_rusco silt loam, 0 to 1 percent slopes_1tslg_0",147834,10677,1691932,70108,98,NE
19949388,1691932,10677,"ne001_ponded soils_0_1_rusco silt loam, 0 to 1 percent slopes_1tslg_0",1464897,10677,1691932,70108,1,NE
19949386,1691932,10677,"ne001_perched wt_0_1_rusco silt loam, 0 to 1 percent slopes_1tslg_0",1465066,10677,1691932,70108,1,NE
19949508,1691934,10677,ne001_ustorthents_1_100_spoil banks_1tslj_0,147838,10677,1691934,70110,100,NE
19949561,2216080,10677,"ne001_geary_0_6_holder silty clay loam, 3 to 7 percent slopes, eroded_2wq65_eroded",2458029,10677,2672732,772225,6,NE
19949562,2216080,10677,"ne001_hobbs_0_2_holder silty clay loam, 3 to 7 percent slopes, eroded_2wq65_frequently flooded",2458028,10677,2672732,772225,2,NE
19949563,2216080,10677,"ne001_hastings_0_5_holder silty clay loam, 3 to 7 percent slopes, eroded_2wq65_eroded",2458027,10677,2672732,772225,5,NE
19949564,2216080,10677,"ne001_hord_0_2_holder silty clay loam, 3 to 7 percent slopes, eroded_2wq65_0",2458035,10677,2672732,772225,2,NE
19949565,2216080,10677,"ne001_holder_1_85_holder silty clay loam, 3 to 7 percent slopes, eroded_2wq65_eroded",2458033,10677,2672732,772225,85,NE
19949478,2216081,10677,"ne001_holder_1_85_holder silty clay loam, 7 to 11 percent slopes, eroded_2wq66_eroded",2458034,10677,2672733,772226,85,NE
19949479,2216081,10677,"ne001_geary_0_7_holder silty clay loam, 7 to 11 percent slopes, eroded_2wq66_eroded",2458032,10677,2672733,772226,7,NE
19949480,2216081,10677,"ne001_hastings_0_6_holder silty clay loam, 7 to 11 percent slopes, eroded_2wq66_eroded",2458030,10677,2672733,772226,6,NE
19949481,2216081,10677,"ne001_hobbs_0_2_holder silty clay loam, 7 to 11 percent slopes, eroded_2wq66_frequently flooded",2458031,10677,2672733,772226,2,NE
19949550,2768399,10677,"ne001_holdrege_1_94_holdrege silt loam, 3 to 7 percent slopes, plains and breaks_2rhk8_0",1902742,10677,2547185,572381,94,NE
19949551,2768399,10677,"ne001_uly_0_6_holdrege silt loam, 3 to 7 percent slopes, plains and breaks_2rhk8_0",2074455,10677,2547185,572381,6,NE
19949512,2216105,10677,"ne001_holdrege_1_94_holdrege silt loam, 3 to 7 percent slopes, eroded, plains and breaks_2rhks_eroded",2282180,10677,2547201,708042,94,NE
19949513,2216105,10677,"ne001_coly_0_6_holdrege silt loam, 3 to 7 percent slopes, eroded, plains and breaks_2rhks_0",2282181,10677,2547201,708042,6,NE
19949465,2668987,10677,"ne001_aquolls_0_1_crete silt loam, 0 to 1 percent slopes, loess plains and breaks_2r9c8_occasionally ponded",2086409,10677,2541233,626726,1,NE
19949466,2668987,10677,"ne001_butler_0_3_crete silt loam, 0 to 1 percent slopes, loess plains and breaks_2r9c8_0",2086364,10677,2541233,626726,3,NE
19949467,2668987,10677,"ne001_crete_1_90_crete silt loam, 0 to 1 percent slopes, loess plains and breaks_2r9c8_0",2086363,10677,2541233,626726,90,NE
19949468,2668987,10677,"ne001_hastings_0_5_crete silt loam, 0 to 1 percent slopes, loess plains and breaks_2r9c8_0",2086366,10677,2541233,626726,5,NE
