"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
20355329,286207,12354,"ri600_woodbridge_0_2_birchwood sandy loam_9lth_0",322219,12354,286207,164877,2,"RI"
20355333,286207,12354,"ri600_stissing_0_1_birchwood sandy loam_9lth_0",322218,12354,286207,164877,1,"RI"
20355332,286207,12354,"ri600_pittstown_0_2_birchwood sandy loam_9lth_0",322216,12354,286207,164877,2,"RI"
20355328,286207,12354,"ri600_poquonock_0_2_birchwood sandy loam_9lth_0",322217,12354,286207,164877,2,"RI"
20355331,286207,12354,"ri600_paxton_0_1_birchwood sandy loam_9lth_0",322215,12354,286207,164877,1,"RI"
20355330,286207,12354,"ri600_newport_0_2_birchwood sandy loam_9lth_0",322214,12354,286207,164877,2,"RI"
20355334,286207,12354,"ri600_birchwood_1_90_birchwood sandy loam_9lth_0",322213,12354,286207,164877,90,"RI"
20354787,286208,12354,"ri600_bridgehampton_1_90_bridgehampton silt loam, 0 to 3 percent slopes_9ltj_0",322221,12354,286208,164878,90,"RI"
20354790,286208,12354,"ri600_enfield_0_3_bridgehampton silt loam, 0 to 3 percent slopes_9ltj_0",322223,12354,286208,164878,3,"RI"
20354788,286208,12354,"ri600_tisbury_0_2_bridgehampton silt loam, 0 to 3 percent slopes_9ltj_0",322225,12354,286208,164878,2,"RI"
20354789,286208,12354,"ri600_agawam_0_3_bridgehampton silt loam, 0 to 3 percent slopes_9ltj_0",322222,12354,286208,164878,3,"RI"
20354791,286208,12354,"ri600_scio_0_2_bridgehampton silt loam, 0 to 3 percent slopes_9ltj_0",322224,12354,286208,164878,2,"RI"
20355336,286209,12354,"ri600_enfield_0_3_bridgehampton silt loam, 3 to 8 percent slopes_9ltk_0",322229,12354,286209,164879,3,"RI"
20355339,286209,12354,"ri600_agawam_0_3_bridgehampton silt loam, 3 to 8 percent slopes_9ltk_0",322228,12354,286209,164879,3,"RI"
20355335,286209,12354,"ri600_bridgehampton_1_90_bridgehampton silt loam, 3 to 8 percent slopes_9ltk_0",322227,12354,286209,164879,90,"RI"
20355337,286209,12354,"ri600_tisbury_0_2_bridgehampton silt loam, 3 to 8 percent slopes_9ltk_0",322231,12354,286209,164879,2,"RI"
20355338,286209,12354,"ri600_scio_0_2_bridgehampton silt loam, 3 to 8 percent slopes_9ltk_0",322230,12354,286209,164879,2,"RI"
20354796,286210,12354,"ri600_narragansett_0_3_bridgehampton silt loam, till substratum, 0 to 3 percent slopes_9ltl_0",322236,12354,286210,164880,3,"RI"
20354793,286210,12354,"ri600_charlton_0_2_bridgehampton silt loam, till substratum, 0 to 3 percent slopes_9ltl_0",322235,12354,286210,164880,2,"RI"
20354795,286210,12354,"ri600_canton_0_1_bridgehampton silt loam, till substratum, 0 to 3 percent slopes_9ltl_0",322234,12354,286210,164880,1,"RI"
20354792,286210,12354,"ri600_scio_0_2_bridgehampton silt loam, till substratum, 0 to 3 percent slopes_9ltl_0",322237,12354,286210,164880,2,"RI"
20354797,286210,12354,"ri600_bridgehampton_1_90_bridgehampton silt loam, till substratum, 0 to 3 percent slopes_9ltl_0",322233,12354,286210,164880,90,"RI"
20354794,286210,12354,"ri600_wapping_0_2_bridgehampton silt loam, till substratum, 0 to 3 percent slopes_9ltl_0",322238,12354,286210,164880,2,"RI"
20355340,286211,12354,"ri600_narragansett_0_3_bridgehampton silt loam, till substratum, 3 to 8 percent slopes_9ltm_0",322243,12354,286211,164881,3,"RI"
