cokey,mukey,lkey,key.join,coiid,liid,muiid,dmuiid,comppct,state
19698774,55212,10339,"ut631_rock outcrop_0_15_rizno fine sandy loam, 4 to 15 percent slopes_1vg1_0",1432197,10339,55212,33609,15,UT
19698775,55212,10339,"ut631_mido_0_10_rizno fine sandy loam, 4 to 15 percent slopes_1vg1_0",1432198,10339,55212,33609,10,UT
19698776,55212,10339,"ut631_rizno_1_65_rizno fine sandy loam, 4 to 15 percent slopes_1vg1_0",56820,10339,55212,33609,65,UT
19698777,55212,10339,"ut631_begay_0_10_rizno fine sandy loam, 4 to 15 percent slopes_1vg1_0",1432199,10339,55212,33609,10,UT
19698886,55213,10339,ut631_rock outcrop_0_5_rizno-mido complex_1vg2_0,1440325,10339,55213,33610,5,UT
19698887,55213,10339,ut631_moenkopie_0_5_rizno-mido complex_1vg2_0,1440326,10339,55213,33610,5,UT
19698888,55213,10339,ut631_rizno_1_50_rizno-mido complex_1vg2_0,56821,10339,55213,33610,50,UT
19698889,55213,10339,ut631_mido_1_40_rizno-mido complex_1vg2_0,56822,10339,55213,33610,40,UT
19698778,55214,10339,ut631_miko_0_5_rizno-rock outcrop complex_1vg3_0,1440327,10339,55214,33611,5,UT
19698779,55214,10339,ut631_rock outcrop_1_20_rizno-rock outcrop complex_1vg3_0,56824,10339,55214,33611,20,UT
19698780,55214,10339,ut631_rizno_1_75_rizno-rock outcrop complex_1vg3_0,56823,10339,55214,33611,75,UT
19698890,55215,10339,"ut631_rizno_1_55_rizno,warm-rock outcrop complex_1vg4_warm",56825,10339,55215,33612,55,UT
19698891,55215,10339,"ut631_rock outcrop_1_25_rizno,warm-rock outcrop complex_1vg4_0",56826,10339,55215,33612,25,UT
19698892,55215,10339,"ut631_rizno_0_5_rizno,warm-rock outcrop complex_1vg4_very shallow over sandstone",1440328,10339,55215,33612,5,UT
19698893,55215,10339,"ut631_mellenthin_0_5_rizno,warm-rock outcrop complex_1vg4_0",1440329,10339,55215,33612,5,UT
19698894,55215,10339,"ut631_mido_0_10_rizno,warm-rock outcrop complex_1vg4_0",1440330,10339,55215,33612,10,UT
19698556,55216,10339,ut631_soils that are redder and are shallow to shale_0_10_robroost-goblin complex_1vg5_0,1440332,10339,55216,33613,10,UT
19698557,55216,10339,ut631_badland_0_5_robroost-goblin complex_1vg5_0,1440331,10339,55216,33613,5,UT
19698558,55216,10339,ut631_robroost_1_70_robroost-goblin complex_1vg5_0,56827,10339,55216,33613,70,UT
19698559,55216,10339,ut631_goblin_1_15_robroost-goblin complex_1vg5_0,56828,10339,55216,33613,15,UT
19698560,55217,10339,"ut631_robroost_1_65_robroost-goblin complex, eroded_1vg6_0",56829,10339,55217,33614,65,UT
19698561,55217,10339,"ut631_goblin_1_25_robroost-goblin complex, eroded_1vg6_0",56830,10339,55217,33614,25,UT
