"evaluation","propname","propiid"
"NCCPI - Parent Material is Loess","PARENT MATERIAL KIND IS LOESS","13409"
"NCCPI - pH 0-20cm (Corn and Soybeans)","pH IN DEPTH 0-20CM, WTD AVE","13531"
"NCCPI - pH 20-150cm (Corn and Soybeans)","pH IN DEPTH 20-150CM, WTD AVE","13532"
"NCCPI - CEC 0-150cm or Bulk Density too High","MEQ 0-150cm OR BD TOO HIGH","13527"
"NCCPI - CEC 0-150cm or EC >= 8.01","MEQ 0-150cm OR EC > 8.01","13526"
"NCCPI - CEC 0-150cm or pH <= 3.5","MEQ 0-150cm OR PH <= 3.5","13525"
"NCCPI - CEC 0-150cm or Restriction","MEQ 0-150cm OR RESTRICTION","13528"
"NCCPI - Wet Soil Months, Count","WET SOIL MONTHS GROWING SEASON - COUNT","14471"
"NCCPI - OM 0-20cm","ORGANIC MATTER IN DEPTH 0-20CM, WTD AVE","17047"
"NCCPI - OM 20-150cm","ORGANIC MATTER PERCENT 20-150 CM","13550"
"NCCPI - SAR 0-20cm (Corn)","SAR OF SURFACE 20cm","13563"
"NCCPI - SAR 20-150cm (Corn)","SAR 20-150cm","13564"
"NCCPI - EC 0-150 cm or Bulk Density too High","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE BD TOO HIGH","13545"
"NCCPI - EC 0-150 cm or EC >= 16","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE EC > 16","13546"
"NCCPI - EC 0-150 cm or Restriction","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE RESTR. LAYER","13544"
"NCCPI - EC 0-150 cm or pH <= 3.5","ELECTRICAL CONDUCTIVITY (WTD AVE) ABOVE PH <3.5","13547"
"NCCPI - EC 0-10cm Germination Adverse","ELECTRICAL CONDUCTIVITY MAX 0-10 CM","14968"
"NCCPI - GYPSUM 0-20cm","GYPSUM FROM 0 to 20cm","13569"
"NCCPI - GYPSUM 20-150cm","GYPSUM 20-150cm","13570"
"NCCPI - AWC Sufficiency 0-200cm Revised","AWC * Root Sufficiency (NCCPI)","23371"
"NCCPI - Water Table Depth During Summer Growth","WATER TABLE DEPTH MIN DURING SUMMER GROWTH","13656"
"NCCPI - Mean Annual Air Temperature (Soil Proxy)","MEAN ANNUAL AIR TEMPERATURE","13636"
"NCCPI - Precipitation Recharge","PRECIPITATION RECHARGE","14186"
"NCCPI_B - Ksat Minimum within 150cm","KSAT MINIMUM ABOVE RESTRICTIVE LAYER (0-150cm)","13533"
"NCCPI_B - Organic Matter in Profile","OC IN KG/M2, WHOLE PROFILE","13769"
"NCCPI_B - Water-Gathering Surface, Corn","WATER GATHERING SURFACE, WHEAT","14819"
"NCCPI - Frost Free Days Revised","FROST-FREE DAYS","13359"
"NCCPI - Mean Annual Precipitation","MEAN ANNUAL PRECIPITATION FROM H&L","35985"
"NCCPI_B - Growing Season <= 135 FFD Soil Wetness Index","GENERAL INDICATOR MLRA DURING < 135 FFD (CORN)","27343"
"NCCPI_B - Growing Season > 135 to <= 160 Soil Wetness Index","GENERAL INDICATOR MLRA DURING 135-160 FFD (CORN)","27342"
"NCCPI_B - Growing Season > 160 to <= 185 Soil Wetness Index","GENERAL INDICATOR MLRA DURING 160-185 FFD (CORN)","27341"
"NCCPI_B - Growing Season > 185 to <= 210 Soil Wetness Index","GENERAL INDICATOR MLRA DURING 185-210 FFD (CORN)","27340"
"NCCPI_B - Growing Season > 210 Soil Wetness Index","GENERAL INDICATOR MLRA DURING >210 FFD (CORN)","27339"
"NCCPI - Effective Slope","SLOPE PERCENT","1213"
"NCCPI - Ponding During Growing Season (Corn)","PONDING SEVERITY (CORN)","14850"
"NCCPI_B - Flooding During Growing Season (Corn)","FLOODING FREQUENCY AND DURATION (CORN)","27319"
"NCCPI - Interpretable Component","INTERPRETABLE COMPONENT","15327"
